rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
1,B12,40.0,124.7,87.3,0.9837,51.7,44.8,14.2,20.9,36.9,28.6,27.2,34.2,47.8,44.5,39.4,30.2,34.7,43.4,61.8,11.5,Houston,1.0,Finals,2025,post,0,,0.6527777777777778
2,ACC,39.0,130.6,92.0,0.9825,57.9,44.4,14.0,17.1,34.0,27.3,32.9,25.0,57.9,43.0,38.6,31.1,44.6,38.3,66.0,9.5,Duke,1.0,Final Four,2025,post,0,,0.3709164095582002
3,SEC,38.0,127.8,92.9,0.975,54.9,46.1,13.6,17.4,34.2,29.7,33.9,38.7,55.7,46.8,35.9,29.8,40.8,35.3,68.3,12.7,Auburn,1.0,Final Four,2025,post,0,,0.38611111111111107
4,SEC,40.0,127.9,94.1,0.9715,54.9,45.5,15.7,16.6,38.5,29.0,34.9,32.5,56.1,46.3,35.6,29.4,43.7,37.2,69.9,11.2,Florida,1.0,CHAMPS,2025,post,1,,0.380050505050505
5,SEC,37.0,127.8,96.6,0.9617,56.6,47.8,16.6,13.5,33.7,29.4,39.3,33.2,59.7,49.0,35.3,30.4,46.6,34.6,75.1,10.1,Alabama,2.0,Elite Eight,2025,post,0,,0.06666666666666667
6,SEC,38.0,120.2,91.8,0.957,52.5,45.0,16.1,17.7,35.6,30.3,35.5,28.2,54.0,46.6,33.8,28.7,43.4,44.6,63.9,9.4,Tennessee,2.0,Elite Eight,2025,post,0,,0.268939393939394
7,B12,37.0,126.1,97.6,0.9502,54.7,48.1,14.2,17.1,34.2,28.3,29.2,33.4,54.5,47.9,36.7,32.4,44.5,34.6,66.1,5.8,Texas Tech,3.0,Elite Eight,2025,post,0,,0.006060606060606061
8,WCC,35.0,124.8,96.7,0.9497,56.0,47.5,13.4,18.0,32.5,26.9,30.7,29.3,57.5,48.9,35.4,30.2,33.6,40.2,70.5,2.8,Gonzaga,8.0,R32,2025,post,0,,0.0
9,B10,36.0,118.7,92.1,0.9488,53.6,47.1,14.3,20.1,30.7,28.2,33.1,26.1,52.2,47.8,37.3,30.6,35.4,36.2,69.7,5.2,Maryland,4.0,Sweet Sixteen,2025,post,0,,0.0
10,B12,37.0,124.9,97.4,0.9462,53.3,48.9,16.0,16.2,36.0,27.9,35.8,29.8,54.7,47.5,33.8,34.0,34.7,41.3,70.3,5.4,Arizona,4.0,Sweet Sixteen,2025,post,0,,0.006060606060606061
11,B12,35.0,119.3,93.3,0.9445,54.9,48.9,17.0,21.6,32.2,27.9,37.9,29.0,55.5,47.8,35.8,33.6,36.8,40.9,68.8,5.4,Iowa St.,3.0,R32,2025,post,0,,0.0
12,B10,37.0,123.1,96.7,0.9414,53.8,48.1,14.0,14.5,28.0,26.7,34.2,27.7,55.2,46.9,34.8,33.3,48.2,39.1,67.9,6.6,Wisconsin,3.0,R32,2025,post,0,,0.006060606060606061
13,B10,37.0,117.3,92.3,0.9403,50.9,46.2,16.4,15.9,35.3,24.7,37.7,31.5,53.0,49.1,31.1,28.0,32.9,40.7,67.6,8.5,Michigan St.,2.0,Elite Eight,2025,post,0,,0.0
14,B12,36.0,126.8,100.2,0.9377,57.0,51.4,17.4,16.9,33.7,26.4,30.4,29.4,58.6,49.6,36.8,35.7,47.6,46.2,67.6,4.8,BYU,6.0,Sweet Sixteen,2025,post,0,,0.0
15,B10,36.0,125.6,99.3,0.937,55.9,51.8,15.7,17.5,31.8,29.7,34.6,30.1,55.1,55.6,38.2,31.2,38.4,42.6,65.2,4.9,Purdue,4.0,Sweet Sixteen,2025,post,0,,0.0
16,BE,36.0,113.0,90.0,0.9324,49.2,45.9,15.3,21.4,37.9,29.8,30.3,30.7,51.0,46.0,30.1,30.6,31.0,40.8,70.1,7.9,St. John's,2.0,R32,2025,post,0,,0.0
17,SEC,36.0,123.5,98.4,0.9316,55.9,50.3,15.0,14.1,28.2,26.4,35.2,30.6,55.6,53.9,37.5,30.5,41.2,43.7,70.9,5.7,Kentucky,3.0,Sweet Sixteen,2025,post,0,,0.0
18,B10,34.0,118.0,94.3,0.9293,52.8,50.1,15.9,22.8,32.7,29.8,32.3,33.9,52.8,50.7,35.2,32.8,36.5,45.0,65.1,3.9,UCLA,7.0,R32,2025,post,0,,0.0
19,SEC,34.0,126.0,101.2,0.926,55.8,50.9,15.5,20.1,33.5,32.3,47.1,35.7,56.3,51.2,36.7,33.6,41.4,37.8,68.6,3.3,Missouri,6.0,R64,2025,post,0,,0.0
20,B10,35.0,122.6,98.4,0.9255,52.4,47.4,16.0,12.4,35.8,25.8,34.4,26.9,57.3,46.1,31.3,33.6,47.2,30.5,71.5,4.0,Illinois,6.0,R32,2025,post,0,,0.0
21,SEC,34.0,116.3,93.7,0.9231,47.6,48.3,17.8,19.4,41.4,28.0,41.3,35.7,48.6,46.8,30.7,33.3,37.7,46.2,66.7,5.5,Texas A&M,4.0,R32,2025,post,0,,0.0
22,B12,34.0,116.1,93.7,0.9215,53.1,46.3,16.9,15.6,30.5,27.6,24.4,28.1,53.0,46.3,35.4,30.8,34.1,40.6,68.6,4.2,Kansas,7.0,R64,2025,post,0,,0.0
23,B10,37.0,115.8,93.9,0.9174,53.8,46.1,19.6,15.8,33.2,30.2,35.7,28.4,56.7,46.0,33.2,30.8,42.0,39.1,70.0,6.8,Michigan,5.0,Sweet Sixteen,2025,post,0,,0.0
24,SEC,36.0,119.3,97.0,0.9157,51.4,50.5,12.9,20.2,25.5,30.4,35.3,39.3,51.0,51.8,34.8,32.5,40.0,43.5,68.1,5.0,Mississippi,6.0,Sweet Sixteen,2025,post,0,,0.0
25,ACC,35.0,118.0,95.9,0.9157,53.2,49.7,16.3,18.5,31.9,27.1,33.7,27.1,56.8,48.7,32.8,34.1,47.8,39.8,69.2,5.5,Louisville,8.0,R64,2025,post,0,,0.0
26,WCC,35.0,114.2,92.9,0.9141,50.2,46.5,14.9,16.3,39.9,24.6,31.1,25.0,51.2,46.2,32.2,31.5,33.2,31.8,61.9,4.4,Saint Mary's,7.0,R32,2025,post,0,,0.0
27,ACC,34.0,117.3,95.5,0.914,53.4,48.8,15.8,20.0,33.7,30.4,28.3,27.8,52.2,49.5,36.9,31.9,38.8,38.0,64.6,4.7,Clemson,5.0,R64,2025,post,0,,0.0
28,B10,35.0,116.5,96.2,0.9006,52.5,48.9,16.2,17.5,30.5,29.1,33.0,27.5,53.1,49.7,34.4,31.7,38.3,37.8,68.1,5.8,Oregon,5.0,R32,2025,post,0,,0.0
29,B12,35.0,121.3,100.3,0.8995,51.1,52.0,15.9,18.6,36.0,30.9,30.5,33.7,50.9,50.8,34.3,35.9,40.1,41.4,64.7,2.1,Baylor,9.0,R32,2025,post,0,,0.0
30,BE,34.0,116.5,97.0,0.8924,52.0,49.9,13.6,21.4,30.0,31.0,25.9,30.5,54.7,51.3,32.6,31.8,46.4,39.4,67.9,3.7,Marquette,7.0,R64,2025,post,0,,0.0
31,BE,36.0,118.5,98.6,0.892,56.1,47.2,17.9,11.6,26.4,27.2,28.6,17.2,60.4,46.2,34.5,32.6,48.9,35.3,67.4,3.1,Creighton,9.0,R32,2025,post,0,,0.0
32,A10,35.0,116.0,96.7,0.8904,52.4,44.8,16.8,20.5,36.5,30.4,31.5,36.6,53.9,44.1,33.8,30.7,47.8,35.4,66.4,1.0,VCU,11.0,R64,2025,post,0,,0.0
33,BE,35.0,121.4,101.2,0.8903,55.0,48.1,17.0,15.7,35.5,27.8,30.8,41.0,57.0,45.8,34.8,35.0,42.7,34.2,64.1,2.3,Connecticut,8.0,R32,2025,post,0,,0.0
34,ACC,37.0,119.3,99.8,0.8866,54.1,49.5,15.1,15.3,29.1,26.9,34.8,30.5,54.5,49.1,35.6,33.5,37.2,38.1,70.8,1.3,North Carolina,11.0,R64,2025,post,0,,0.0
35,SEC,33.0,115.8,96.9,0.8861,52.1,47.7,18.8,18.0,36.0,31.9,40.1,30.3,53.7,47.9,32.9,31.6,37.0,40.4,66.7,2.1,Georgia,9.0,R64,2025,post,0,,0.0
36,SEC,34.0,118.5,99.2,0.8858,51.9,51.8,15.3,18.9,33.9,29.9,31.5,35.3,55.5,50.3,31.4,35.8,42.7,44.0,68.2,3.1,Mississippi St.,8.0,R64,2025,post,0,,0.0
37,SEC,36.0,113.8,95.4,0.8832,52.2,47.6,16.3,17.2,28.1,29.9,35.6,29.2,54.1,47.9,32.7,31.4,36.6,38.9,69.4,1.4,Arkansas,10.0,Sweet Sixteen,2025,post,0,,0.0
38,B12,32.0,110.1,92.4,0.8825,50.0,46.3,16.2,19.4,25.9,30.8,25.6,32.2,50.9,47.3,32.6,29.7,46.1,36.5,64.4,1.5,West Virginia,,,2025,post,0,,0.0
39,MWC,36.0,117.4,99.0,0.8772,55.5,48.5,17.2,16.7,27.0,25.8,31.6,33.2,56.4,47.7,36.3,33.2,42.8,38.0,66.1,0.7,Colorado St.,12.0,R32,2025,post,0,,0.0
40,BE,34.0,116.9,98.9,0.8727,54.1,51.0,15.6,17.6,24.4,25.5,36.7,28.6,51.2,50.6,39.1,34.4,37.6,37.4,69.2,0.46,Xavier,11.0,R64,2025,post,0,,0.0
41,B10,32.0,117.6,99.6,0.8703,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,37.7,37.6,67.3,-0.36,Ohio St.,,,2025,post,0,,0.0
42,MWC,35.0,112.3,95.4,0.867,50.8,49.2,15.7,20.3,31.3,25.8,37.3,35.0,50.7,48.2,34.0,33.8,31.7,38.3,72.9,2.7,New Mexico,10.0,R32,2025,post,0,,0.0
43,SEC,33.0,118.7,101.1,0.864,51.5,52.7,14.5,19.8,31.6,29.7,33.4,38.5,53.5,51.4,32.5,36.6,40.4,37.7,69.7,1.6,Vanderbilt,10.0,R64,2025,post,0,,0.0
44,B12,35.0,111.9,95.6,0.8594,51.1,48.8,15.5,19.6,32.2,29.5,23.1,24.9,52.6,48.3,32.4,33.0,38.3,34.6,65.9,-1.0,Cincinnati,,,2025,post,0,,0.0
45,SEC,35.0,117.5,100.9,0.8523,52.6,48.9,14.3,16.4,29.7,29.4,36.8,38.9,51.7,47.8,36.2,33.8,35.3,36.4,67.6,0.25,Texas,11.0,R68,2025,post,0,,0.0
46,WCC,34.0,116.6,100.3,0.8499,56.0,49.5,16.7,16.6,32.7,26.7,28.4,31.3,54.9,51.2,38.2,31.3,46.4,39.7,69.2,-3.3,Santa Clara,,,2025,post,0,,0.0
47,SEC,34.0,117.0,100.7,0.8492,54.4,51.0,17.3,18.2,26.6,31.8,39.9,35.7,54.1,55.0,36.5,30.3,41.6,42.0,68.7,2.2,Oklahoma,9.0,R64,2025,post,0,,0.0
48,B10,33.0,113.7,97.8,0.8486,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,34.2,39.3,65.2,-2.2,Northwestern,,,2025,post,0,,0.0
49,MWC,37.0,116.1,100.2,0.8448,52.6,50.4,16.4,16.4,32.7,22.5,37.6,31.4,56.4,49.0,31.7,35.2,42.9,37.1,66.0,-0.03,Boise St.,,,2025,post,0,,0.0
50,B10,32.0,113.1,97.6,0.8445,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,33.2,38.9,68.3,0.9,Indiana,,,2025,post,0,,0.0
51,BE,36.0,119.1,102.8,0.8444,54.5,51.1,15.3,15.8,30.3,27.7,29.2,30.4,51.3,50.5,39.0,34.5,43.7,45.8,63.5,-2.8,Villanova,,,2025,post,0,,0.0
52,BW,35.0,113.0,97.5,0.8442,55.1,47.8,13.4,23.3,25.6,28.6,33.4,29.9,56.0,46.3,36.1,33.1,49.6,44.4,66.0,0.9,UC San Diego,12.0,R64,2025,post,0,,0.0
53,MVC,35.0,113.1,97.7,0.8431,53.9,51.4,18.4,21.8,35.3,25.7,42.7,36.7,54.1,54.4,35.6,31.2,36.2,38.6,59.1,2.7,Drake,11.0,R32,2025,post,0,,0.0
54,MWC,34.0,121.3,105.4,0.8343,55.3,51.9,16.0,20.1,34.7,30.3,37.0,35.6,57.5,52.7,34.9,34.0,42.6,44.4,67.7,2.2,Utah St.,10.0,R64,2025,post,0,,0.0
55,ACC,35.0,116.2,101.1,0.8328,54.5,48.1,17.2,17.9,36.3,29.9,36.7,32.7,53.3,47.0,37.8,33.1,35.1,41.1,69.2,-0.5,SMU,,,2025,post,0,,0.0
56,B10,35.0,116.7,101.5,0.832,54.8,51.9,17.7,17.7,27.9,30.2,35.5,34.6,54.8,53.4,36.5,33.0,34.8,38.7,68.6,-3.2,USC,,,2025,post,0,,0.0
57,B10,35.0,113.4,98.8,0.8303,52.1,50.5,16.2,17.6,27.1,28.5,35.5,26.6,53.2,50.3,33.5,33.9,38.5,45.9,67.9,-0.9,Nebraska,,,2025,post,0,,0.0
58,B12,33.0,109.4,96.1,0.8155,50.6,49.0,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,40.2,35.7,67.3,-2.5,Kansas St.,,,2025,post,0,,0.0
59,MWC,31.0,108.9,95.8,0.8138,50.5,45.9,16.8,19.5,29.2,31.0,32.3,37.4,51.5,45.1,32.6,31.2,39.6,47.1,66.1,1.0,San Diego St.,11.0,R68,2025,post,0,,0.0
60,Slnd,35.0,113.6,100.0,0.8133,53.0,47.7,16.2,21.7,34.5,31.7,35.3,31.9,53.1,46.9,35.2,32.4,36.6,46.9,65.8,-0.6,McNeese St.,12.0,R32,2025,post,0,,0.0
61,B10,31.0,114.4,100.8,0.8115,54.1,51.9,17.4,19.8,28.6,29.1,37.9,29.4,55.6,51.2,34.3,35.3,36.2,38.3,70.4,-3.2,Penn St.,,,2025,post,0,,0.0
62,CUSA,35.0,112.1,99.0,0.8053,57.8,46.5,15.4,17.0,19.0,28.1,30.3,26.0,57.5,48.3,38.7,28.7,48.2,34.5,65.7,-0.21,Liberty,12.0,R64,2025,post,0,,0.0
63,Amer,35.0,112.2,99.3,0.8041,53.5,48.6,19.3,18.9,35.3,32.3,39.3,33.9,52.0,48.6,37.6,32.4,33.3,41.0,70.9,5.0,Memphis,5.0,R64,2025,post,0,,0.0
64,B10,33.0,120.1,106.5,0.8007,56.8,54.4,13.7,17.9,25.1,32.2,26.0,28.3,56.6,56.2,38.0,34.4,41.0,38.8,70.1,-1.9,Iowa,,,2025,post,0,,0.0
65,WCC,35.0,111.3,98.8,0.7965,52.8,48.5,16.7,17.8,29.0,27.7,34.7,36.4,54.1,52.2,34.1,27.9,43.7,35.5,68.1,0.11,San Francisco,,,2025,post,0,,0.0
66,B10,32.0,116.5,103.9,0.7878,50.6,52.8,15.4,17.4,30.8,32.2,36.2,30.5,51.3,52.9,32.9,35.1,36.3,37.7,68.9,-3.0,Rutgers,,,2025,post,0,,0.0
67,B12,33.0,113.3,101.2,0.7844,51.5,50.7,17.6,16.1,25.1,30.3,36.2,31.4,50.0,51.7,35.6,32.9,42.6,40.3,68.8,-3.1,Arizona St.,,,2025,post,0,,0.0
