rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
1,B12,34.0,124.3,87.6,0.9824,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49.0,43.9,39.8,30.9,34.5,43.1,62.1,11.5,Houston,1.0,Finals,2025,,pre,0.2143939393939394
2,ACC,34.0,127.3,90.9,0.9795,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58.0,43.4,37.7,30.9,45.4,37.9,66.5,9.5,Duke,1.0,Final Four,2025,,pre,0.05343861507020786
3,SEC,33.0,129.6,93.2,0.978,55.7,46.0,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,40.6,34.8,68.6,12.7,Auburn,1.0,Final Four,2025,,pre,0.11934876736261685
4,SEC,34.0,126.9,94.1,0.9689,55.0,45.3,15.0,17.0,38.1,28.8,32.6,33.0,56.4,45.9,35.5,29.6,43.6,37.3,70.3,11.2,Florida,1.0,CHAMPS,2025,,pre,0.16486364625706193
5,SEC,33.0,127.3,96.2,0.9615,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35.0,30.8,46.2,35.1,75.4,10.1,Alabama,2.0,Elite Eight,2025,,pre,0.006060606060606061
6,SEC,34.0,118.8,90.4,0.9585,52.8,44.4,16.0,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34.0,27.8,43.0,45.1,64.6,9.4,Tennessee,2.0,Elite Eight,2025,,pre,0.0
7,B12,33.0,125.6,96.9,0.9518,55.5,48.0,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,44.6,34.1,66.3,5.8,Texas Tech,3.0,Elite Eight,2025,,pre,0.0
8,B12,33.0,119.3,92.6,0.9484,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,36.9,40.7,69.3,5.4,Iowa St.,3.0,R32,2025,,pre,0.0
9,B10,33.0,118.4,92.1,0.9476,53.8,47.0,14.5,20.2,31.0,27.2,32.9,25.9,52.7,47.6,37.2,30.7,35.5,35.8,70.6,5.2,Maryland,4.0,Sweet Sixteen,2025,,pre,0.0
10,B12,34.0,123.1,96.3,0.9443,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,34.6,41.9,70.6,5.4,Arizona,4.0,Sweet Sixteen,2025,,pre,0.0
11,WCC,33.0,123.4,96.8,0.9421,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,33.5,40.6,70.9,2.8,Gonzaga,8.0,R32,2025,,pre,0.0
12,B10,33.0,117.2,92.2,0.9406,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,32.7,41.4,68.6,8.5,Michigan St.,2.0,Elite Eight,2025,,pre,0.0
13,B10,35.0,122.7,96.7,0.9394,53.6,47.9,14.1,14.5,28.0,26.6,33.8,28.1,54.7,46.8,34.9,33.0,48.1,39.1,68.3,6.6,Wisconsin,3.0,R32,2025,,pre,0.0
14,B10,33.0,122.1,96.8,0.9352,52.3,47.3,15.8,12.7,36.0,26.3,34.6,26.8,57.3,46.1,31.1,33.3,46.9,30.4,72.1,4.0,Illinois,6.0,R32,2025,,pre,0.0
15,B10,33.0,124.9,99.3,0.9334,56.3,52.0,15.6,17.8,31.0,29.9,34.6,31.0,55.5,56.4,38.5,30.7,38.1,42.7,65.8,4.9,Purdue,4.0,Sweet Sixteen,2025,,pre,0.0
16,SEC,33.0,124.0,98.7,0.9323,56.0,50.4,15.2,14.0,28.7,25.9,35.9,31.0,55.9,53.7,37.4,30.8,41.7,43.5,71.6,5.7,Kentucky,3.0,Sweet Sixteen,2025,,pre,0.0
17,BE,34.0,112.6,89.7,0.9321,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,30.3,40.8,70.9,7.9,St. John's,2.0,R32,2025,,pre,0.0
18,B12,33.0,115.9,92.5,0.9307,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28.0,53.4,46.1,35.2,30.9,34.3,40.7,69.0,4.2,Kansas,7.0,R64,2025,,pre,0.0
19,B12,33.0,124.1,99.0,0.9306,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,48.3,44.4,67.9,4.8,BYU,6.0,Sweet Sixteen,2025,,pre,0.0
20,SEC,33.0,125.9,100.8,0.9277,56.2,50.7,15.2,20.0,33.7,32.2,46.8,35.3,56.7,51.1,37.0,33.4,41.5,38.2,68.9,3.3,Missouri,6.0,R64,2025,,pre,0.0
21,SEC,32.0,115.8,92.9,0.9262,47.5,48.2,18.2,19.7,42.0,27.8,41.7,35.3,48.0,46.5,31.1,33.4,37.6,47.0,66.9,5.5,Texas A&M,4.0,R32,2025,,pre,0.0
22,B10,32.0,117.2,94.5,0.9223,53.0,50.5,15.9,22.8,32.8,29.2,32.9,34.6,53.1,51.2,35.2,33.2,36.0,44.8,65.8,3.9,UCLA,7.0,R32,2025,,pre,0.0
23,B10,34.0,116.5,94.2,0.9202,54.5,46.3,19.8,16.0,33.2,29.8,35.0,28.5,57.7,45.9,33.4,31.3,42.5,38.9,70.3,6.8,Michigan,5.0,Sweet Sixteen,2025,,pre,0.0
24,ACC,34.0,117.9,95.3,0.9201,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57.0,48.3,33.0,33.7,48.1,39.7,69.6,5.5,Louisville,8.0,R64,2025,,pre,0.0
25,WCC,32.0,115.1,93.4,0.9172,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25.0,51.8,45.8,32.6,31.2,33.4,31.3,62.5,4.4,Saint Mary's,7.0,R32,2025,,pre,0.0
26,ACC,33.0,117.7,95.7,0.9155,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,52.3,49.3,37.2,32.2,38.4,38.3,65.0,4.7,Clemson,5.0,R64,2025,,pre,0.0
27,BE,33.0,116.7,96.0,0.9044,52.0,49.9,13.5,21.5,30.1,31.0,26.1,30.2,54.9,51.3,32.5,31.8,46.3,39.8,68.5,3.7,Marquette,7.0,R64,2025,,pre,0.0
