slot_id,region,round,seed,opponent_seed,team1,team2,next_slot_id
R64_East_1,East,R64,1,16,,,R32_East_1
R64_East_2,East,R64,8,9,,,R32_East_1
R64_East_3,East,R64,5,12,,,R32_East_2
R64_East_4,East,R64,4,13,,,R32_East_2
R64_East_5,East,R64,6,11,,,R32_East_3
R64_East_6,East,R64,3,14,,,R32_East_3
R64_East_7,East,R64,7,10,,,R32_East_4
R64_East_8,East,R64,2,15,,,R32_East_4
R64_South_1,South,R64,1,16,,,R32_South_1
R64_South_2,South,R64,8,9,,,R32_South_1
R64_South_3,South,R64,5,12,,,R32_South_2
R64_South_4,South,R64,4,13,,,R32_South_2
R64_South_5,South,R64,6,11,,,R32_South_3
R64_South_6,South,R64,3,14,,,R32_South_3
R64_South_7,South,R64,7,10,,,R32_South_4
R64_South_8,South,R64,2,15,,,R32_South_4
R64_Midwest_1,Midwest,R64,1,16,,,R32_Midwest_1
R64_Midwest_2,Midwest,R64,8,9,,,R32_Midwest_1
R64_Midwest_3,Midwest,R64,5,12,,,R32_Midwest_2
R64_Midwest_4,Midwest,R64,4,13,,,R32_Midwest_2
R64_Midwest_5,Midwest,R64,6,11,,,R32_Midwest_3
R64_Midwest_6,Midwest,R64,3,14,,,R32_Midwest_3
R64_Midwest_7,Midwest,R64,7,10,,,R32_Midwest_4
R64_Midwest_8,Midwest,R64,2,15,,,R32_Midwest_4
R64_West_1,West,R64,1,16,,,R32_West_1
R64_West_2,West,R64,8,9,,,R32_West_1
R64_West_3,West,R64,5,12,,,R32_West_2
R64_West_4,West,R64,4,13,,,R32_West_2
R64_West_5,West,R64,6,11,,,R32_West_3
R64_West_6,West,R64,3,14,,,R32_West_3
R64_West_7,West,R64,7,10,,,R32_West_4
R64_West_8,West,R64,2,15,,,R32_West_4
R32_East_1,East,R32,,,,,S16_East_1
R32_East_2,East,R32,,,,,S16_East_1
R32_East_3,East,R32,,,,,S16_East_2
R32_East_4,East,R32,,,,,S16_East_2
R32_South_1,South,R32,,,,,S16_South_1
R32_South_2,South,R32,,,,,S16_South_1
R32_South_3,South,R32,,,,,S16_South_2
R32_South_4,South,R32,,,,,S16_South_2
R32_Midwest_1,Midwest,R32,,,,,S16_Midwest_1
R32_Midwest_2,Midwest,R32,,,,,S16_Midwest_1
R32_Midwest_3,Midwest,R32,,,,,S16_Midwest_2
R32_Midwest_4,Midwest,R32,,,,,S16_Midwest_2
R32_West_1,West,R32,,,,,S16_West_1
R32_West_2,West,R32,,,,,S16_West_1
R32_West_3,West,R32,,,,,S16_West_2
R32_West_4,West,R32,,,,,S16_West_2
S16_East_1,East,S16,,,,,E8_East_1
S16_East_2,East,S16,,,,,E8_East_1
S16_South_1,South,S16,,,,,E8_South_1
S16_South_2,South,S16,,,,,E8_South_1
S16_Midwest_1,Midwest,S16,,,,,E8_Midwest_1
S16_Midwest_2,Midwest,S16,,,,,E8_Midwest_1
S16_West_1,West,S16,,,,,E8_West_1
S16_West_2,West,S16,,,,,E8_West_1
E8_East_1,East,E8,,,,,F4_1
E8_South_1,South,E8,,,,,F4_1
E8_Midwest_1,Midwest,E8,,,,,F4_2
E8_West_1,West,E8,,,,,F4_2
F4_1,FinalFour,F4,,,,,C1
F4_2,FinalFour,F4,,,,,C1
C1,Championship,Champ,,,,,
