rk,team,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,year
1,"Duke  1 seed, CHAMPS",ACC,40,35-5,121.8 1,89.1 6,.9731 1,50.5 91,43.7 7,16.5 16,21.3 98,40.7 6,32.3 158,37.9 158,34.1 97,46.9 202,44.1 36,38.5 23,28.3 2,32.9 154,25.4 11,64.8 221,+8.4 3,2010
2,"Kansas  1 seed, R32",B12,36,33-3,121.0 2,91.0 11,.9634 2,55.1 9,43.2 4,18.7 88,20.0 190,38.4 23,31.7 121,41.3 85,31.4 48,52.7 19,40.1 1,40.4 7,33.1 112,30.7 220,32.3 169,67.0 111,+11.7 1,2010
3,"Syracuse  1 seed, Sweet Sixteen",BE,35,30-5,118.5 6,91.4 14,.9521 3,57.6 2,45.9 49,21.4 229,22.0 67,37.1 37,34.3 250,36.9 187,25.6 6,57.1 1,46.2 108,39.1 16,30.2 19,30.9 213,40.2 339,69.5 33,+7.5 5,2010
4,"Kentucky  1 seed, Elite Eight",SEC,38,35-3,115.5 20,89.1 5,.9520 4,53.0 32,43.1 3,20.3 164,19.7 211,40.9 4,31.8 127,43.6 53,29.7 25,54.5 6,41.1 5,33.1 219,31.3 46,31.3 195,33.8 224,68.1 70,+8.7 2,2010
5,"Ohio St.  2 seed, Sweet Sixteen",B10,37,29-8,118.0 9,92.8 23,.9409 5,56.1 4,47.1 87,17.5 36,21.8 75,29.5 278,29.4 48,35.8 219,26.4 8,54.8 3,45.1 62,39.0 17,33.7 144,35.4 98,36.1 287,64.5 228,+5.6 8,2010
6,"Kansas St.  2 seed, Elite Eight",B12,36,28-8,116.9 14,92.0 18,.9405 6,50.6 87,46.8 75,19.9 141,23.5 21,40.6 7,34.0 233,50.3 4,47.3 312,49.0 117,45.2 68,36.1 79,33.7 144,32.1 173,30.3 88,68.9 46,+6.7 6,2010
7,"Baylor  3 seed, Elite Eight",B12,35,27-8,120.4 4,95.3 48,.9367 7,54.4 15,44.5 20,20.3 164,17.8 297,38.2 26,33.2 198,36.1 213,34.2 99,53.0 17,41.3 7,38.1 30,33.7 144,32.4 168,34.4 240,64.1 251,+5.5 9,2010
8,"West Virginia  2 seed, Final Four",BE,38,31-7,117.3 12,92.8 25,.9361 8,48.9 160,46.9 81,18.3 62,20.6 150,42.0 2,32.1 144,39.6 115,39.1 207,48.0 158,46.1 104,33.7 190,32.4 78,34.8 105,32.2 162,62.0 310,+8.0 4,2010
9,"Wisconsin  4 seed, R32",B10,33,24-9,116.1 18,92.1 19,.9350 9,51.4 62,46.8 75,14.5 2,19.9 198,30.2 252,26.4 3,32.5 295,36.0 138,50.0 81,45.1 62,35.7 98,34.3 181,39.4 41,25.3 10,58.8 340,+3.8 19,2010
10,"Purdue  4 seed, Sweet Sixteen",B10,35,29-6,109.2 69,87.7 3,.9260 10,49.1 151,44.8 26,16.3 12,23.4 24,29.4 281,31.8 127,38.6 133,36.8 157,49.7 95,41.6 8,31.8 262,35.4 235,30.0 235,28.1 38,66.0 162,+6.5 7,2010
11,"BYU  7 seed, R32",MWC,35,29-6,117.7 10,94.6 39,.9248 11,54.9 11,46.6 68,15.9 6,22.0 67,30.8 227,28.1 23,38.9 127,36.4 145,51.3 47,44.6 48,41.4 3,33.8 150,33.2 149,32.3 169,70.3 21,+4.1 16,2010
12,"Texas A&M  5 seed, R32",B12,33,23-10,112.3 42,91.1 12,.9169 12,49.6 131,46.7 74,18.4 69,20.6 150,33.5 142,29.7 57,48.4 9,35.4 129,49.0 117,44.9 57,33.8 187,33.6 140,34.3 124,33.3 203,64.6 227,+4.3 14,2010
13,"California  8 seed, R32",P10,35,24-11,120.4 3,97.8 80,.9161 13,53.3 29,48.3 139,17.7 43,18.7 261,34.7 94,31.1 101,35.4 232,33.3 84,52.0 28,48.8 212,37.4 46,31.6 53,30.0 235,31.0 114,66.8 124,+1.7 34,2010
14,"Butler  5 seed, Finals",Horz,38,33-5,109.8 63,89.6 7,.9125 14,51.0 80,46.6 68,18.7 88,21.6 82,30.4 247,27.4 13,46.9 16,34.6 109,50.9 54,46.1 104,34.2 167,31.7 58,39.8 37,31.6 130,62.9 290,+4.6 13,2010
15,"Maryland  4 seed, R32",ACC,32,23-9,118.3 7,96.7 66,.9101 15,51.8 51,45.0 29,16.3 12,21.3 98,35.3 78,36.8 310,33.9 269,29.6 23,49.9 84,42.2 10,38.6 22,34.0 162,24.7 327,31.8 138,68.8 49,+3.3 23,2010
16,"Georgetown  3 seed, R64",BE,34,23-11,116.8 15,95.9 56,.9061 16,55.7 5,47.4 99,20.9 200,19.7 211,33.1 159,32.2 150,37.0 183,33.4 87,54.7 4,46.0 98,38.7 21,33.4 127,30.2 232,34.2 234,65.2 207,+4.3 15,2010
17,"Clemson  7 seed, R64",ACC,32,21-11,111.4 49,91.5 16,.9055 17,51.1 75,46.4 58,21.4 229,24.6 9,36.5 49,33.5 211,34.8 249,35.4 129,50.9 54,47.3 146,34.2 167,29.4 8,33.6 138,28.5 47,68.0 71,+1.5 37,2010
18,"Xavier  6 seed, Sweet Sixteen",A10,35,26-9,116.6 16,95.8 55,.9052 18,52.2 44,45.6 42,18.0 54,17.8 297,35.2 83,29.9 61,41.9 75,32.9 77,50.1 79,46.0 98,37.7 39,29.8 10,31.9 181,31.2 119,68.3 61,+2.9 25,2010
19,"Temple  5 seed, R64",A10,35,29-6,108.2 85,89.0 4,.9049 19,49.1 151,43.0 2,16.8 18,18.1 286,32.4 185,27.9 19,27.4 339,26.9 10,48.4 144,43.1 16,33.7 190,28.5 3,31.2 199,32.6 179,60.0 335,+5.4 11,2010
20,"Villanova  2 seed, R32",BE,33,25-8,117.5 11,96.6 65,.9046 20,52.2 44,47.4 99,18.9 96,21.1 118,37.7 30,32.0 139,43.9 49,49.1 329,50.3 75,45.5 78,37.3 48,33.6 140,34.5 116,38.5 326,70.8 15,+5.5 10,2010
21,"Missouri  10 seed, R32",B12,34,23-11,112.1 43,92.3 22,.9039 21,50.1 103,45.9 49,17.8 46,27.1 3,34.7 94,38.1 336,33.9 269,38.9 203,47.6 177,45.2 68,36.8 62,31.7 58,33.3 146,30.9 111,69.1 39,+1.6 36,2010
22,"Texas  8 seed, R64",B12,34,24-10,114.1 29,94.0 35,.9026 22,51.1 75,44.9 28,18.3 62,20.4 164,38.9 15,32.1 144,40.7 95,35.2 125,50.9 54,43.6 24,34.5 146,32.2 73,26.2 305,28.4 45,71.2 11,+3.8 20,2010
23,"Michigan St.  5 seed, Final Four",B10,37,28-9,113.5 32,93.7 31,.9004 23,51.6 56,46.6 68,21.0 204,18.8 256,39.8 9,28.4 25,36.9 187,31.4 48,51.6 39,45.1 62,34.4 154,32.8 97,26.3 303,37.0 299,65.3 199,+3.5 22,2010
24,"Utah St.  12 seed, R64",WAC,34,26-8,116.3 17,96.1 59,.8989 24,55.1 9,46.1 53,16.3 12,17.6 308,33.4 149,27.0 7,29.6 324,29.7 25,52.0 28,44.7 50,41.6 2,32.5 84,29.8 244,32.9 190,60.3 332,-0.20 61,2010
25,"Minnesota  11 seed, R64",B10,35,21-14,114.5 25,94.7 41,.8980 25,53.1 31,46.5 63,19.0 98,21.3 98,33.4 149,32.5 165,33.9 269,32.8 76,50.0 81,43.6 24,39.9 9,34.1 169,31.7 183,37.7 309,65.6 181,-0.35 63,2010
Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,2010
26,"Marquette  6 seed, R64",BE,34,22-12,115.4 22,95.5 50,.8978 26,52.8 34,49.7 200,15.9 6,22.0 67,31.2 218,33.0 191,34.9 244,29.4 21,47.9 161,50.0 259,41.3 4,32.5 84,35.1 103,28.9 54,62.5 297,+1.7 35,2010
27,"Northern Iowa  9 seed, Sweet Sixteen",MVC,35,30-5,109.5 66,90.7 9,.8964 27,49.6 131,46.6 68,17.9 48,20.4 164,30.7 231,26.8 6,37.0 183,28.8 18,47.5 182,44.7 50,35.4 113,33.3 119,37.9 54,35.9 284,58.7 342,+3.9 18,2010
28,"Washington  11 seed, Sweet Sixteen",P10,36,26-10,113.0 38,93.7 30,.8958 28,49.7 128,46.5 63,17.5 36,22.0 67,36.9 40,32.2 150,40.9 90,44.6 289,49.5 101,45.9 92,33.6 195,32.1 69,25.7 311,27.1 26,71.7 10,+1.2 40,2010
29,"Oklahoma St.  7 seed, R64",B12,33,22-11,114.4 26,95.1 46,.8935 29,52.4 41,48.1 134,18.4 69,19.4 228,29.1 287,27.9 19,36.5 202,37.2 170,52.5 21,45.0 60,34.9 131,36.1 266,42.1 19,34.2 234,66.0 161,+1.8 33,2010
30,"Notre Dame  6 seed, R64",BE,35,23-12,120.3 5,100.4 125,.8886 30,53.7 20,49.3 177,16.0 9,15.9 341,34.7 94,30.5 78,38.1 147,27.8 14,51.3 47,47.8 173,38.8 19,34.9 212,34.5 116,33.3 203,63.1 278,+0.45 45,2010
31,"Georgia Tech  10 seed, R32",ACC,35,22-13,109.8 62,91.7 17,.8885 31,50.3 96,44.3 17,23.2 313,21.3 98,38.3 24,33.7 222,37.7 164,34.8 116,49.0 117,42.8 14,35.8 93,31.3 46,28.3 278,35.5 273,68.1 68,+1.4 39,2010
32,"Florida St.  9 seed, R64",ACC,32,22-10,104.5 144,87.3 2,.8881 32,50.5 91,43.5 6,24.3 327,23.6 18,38.1 28,32.4 162,38.6 133,34.8 116,50.7 63,40.3 2,33.5 199,32.8 97,32.1 173,35.3 269,65.6 182,+2.8 26,2010
33,"Tennessee  6 seed, Elite Eight",SEC,37,28-9,109.5 67,91.5 15,.8871 33,50.6 87,45.2 35,18.9 96,23.1 33,33.5 142,32.3 158,35.6 222,40.7 232,51.8 35,45.7 82,32.0 256,29.7 9,31.3 195,38.1 313,67.5 83,+3.9 17,2010
34,"UNLV  8 seed, R64",MWC,33,24-9,111.6 47,93.3 27,.8864 34,52.2 44,45.8 47,17.2 28,22.7 43,29.0 289,30.8 90,30.9 311,47.2 310,53.4 13,43.2 18,33.3 207,33.7 144,35.5 96,34.5 244,66.2 150,+1.0 43,2010
35,"UTEP  12 seed, R64",CUSA,33,26-7,108.4 82,90.9 10,.8839 35,52.8 34,44.6 21,18.7 88,22.3 57,28.9 293,30.2 69,39.6 115,43.2 274,53.4 13,43.4 22,34.3 158,31.3 46,31.2 199,34.8 254,67.8 77,+2.3 29,2010
36,"Pittsburgh  3 seed, R32",BE,34,25-9,111.8 46,93.7 29,.8835 36,49.6 131,44.6 21,19.4 122,16.9 331,37.0 38,31.1 101,42.8 64,33.8 93,48.9 126,43.6 24,34.3 158,31.4 51,29.1 261,29.1 59,60.9 327,+3.7 21,2010
37,Dayton,A10,37,25-12,107.2 103,90.3 8,.8783 37,50.6 87,44.7 24,21.3 226,20.7 142,34.3 112,27.4 13,38.5 136,40.8 233,50.0 81,44.0 34,34.5 146,30.7 29,36.3 79,35.7 280,65.1 211,-2.0 79,2010
38,"Gonzaga  8 seed, R32",WCC,33,26-7,112.4 41,95.0 42,.8743 38,54.0 18,46.8 75,18.6 84,18.2 279,32.0 197,28.6 28,49.2 7,34.2 99,54.4 7,44.8 53,35.5 109,33.9 155,27.9 281,32.6 179,67.8 78,+2.6 28,2010
39,"Old Dominion  11 seed, R32",CAA,36,27-9,108.1 88,91.3 13,.8741 39,48.8 165,45.5 41,20.1 156,22.4 52,42.4 1,30.2 69,30.3 318,29.7 25,49.2 109,45.8 88,31.7 267,30.0 13,25.4 318,35.0 261,62.1 309,+0.8 44,2010
40,"Vanderbilt  4 seed, R64",SEC,32,23-9,114.1 27,96.5 63,.8726 40,52.6 39,47.0 86,19.3 116,19.2 238,32.6 176,35.1 278,48.3 10,34.5 105,51.5 41,45.2 68,36.9 59,33.9 155,29.9 241,31.2 119,68.1 69,+3.3 24,2010
41,Mississippi St.,SEC,36,24-12,110.7 55,94.0 34,.8673 41,51.4 62,44.0 10,18.5 76,16.6 336,30.6 237,30.5 78,35.3 236,24.8 4,49.5 101,41.8 9,35.8 93,32.5 84,44.5 10,31.8 138,66.2 146,+0.14 49,2010
42,"Saint Mary's  10 seed, Sweet Sixteen",WCC,33,27-6,115.9 19,98.6 92,.8645 42,55.3 7,46.1 53,17.1 24,16.0 340,34.3 112,31.1 101,32.7 294,30.2 37,52.2 25,46.3 113,40.6 6,30.2 19,35.9 86,23.3 3,66.1 155,+2.0 31,2010
