rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,Amer,11,9–2 8–1,119.1 12,89.2 3,.9651 1,53.6 20,43.6 9,17.0 55,23.4 4,34.8 51,35.8 294,46.8 31,43.7 180,51.5 30,43.2 14,38.4 38,29.7 14,35.5 110,27.9 42,67.9 105,+3.4 11,Louisville,4,Sweet Sixteen,2014,R,A
2,B10,10,7–3 6–3,121.3 8,93.2 12,.9537 2,54.7 11,47.4 49,18.2 130,16.3 246,32.9 96,25.6 9,31.2 306,50.0 292,52.2 23,43.5 17,39.1 24,36.6 244,39.2 47,33.7 208,65.3 234,+3.7 9,Michigan St.,4,Elite Eight,2014,R,A
3,B10,11,8–3 6–3,123.1 4,95.5 23,.9485 3,51.5 56,46.5 32,12.6 2,13.9 340,28.5 241,28.2 40,35.5 212,25.9 1,52.4 20,48.5 112,33.3 184,26.5 2,38.1 60,23.5 5,63.6 299,+4.1 7,Wisconsin,2,Final Four,2014,R,A
4,P12,11,8–3 6–3,112.7 38,88.4 2,.9424 4,48.0 173,45.4 18,16.3 38,18.2 119,33.3 79,27.7 31,38.5 140,39.4 100,46.9 179,42.6 11,34.2 148,36.1 229,25.7 321,24.1 8,63.9 291,+4.1 6,Arizona,1,Elite Eight,2014,R,A
5,ACC,10,8–2 7–2,119.3 11,93.6 13,.9423 5,47.2 212,46.7 36,14.3 8,17.5 183,37.9 17,29.4 70,35.1 234,45.8 220,47.0 176,45.0 31,31.9 238,32.8 90,26.6 311,39.4 331,60.3 346,+4.2 5,Syracuse,3,R32,2014,R,A
6,SEC,12,10–2 9–0,115.6 21,91.3 8,.9379 6,51.1 61,47.9 59,18.5 150,21.4 17,37.6 20,32.6 186,42.0 71,31.0 12,49.2 91,43.7 18,36.1 92,37.9 284,37.5 71,32.6 168,61.8 336,+4.7 2,Florida,1,Final Four,2014,R,A
7,ACC,9,4–5 4–5,126.5 2,100.9 96,.9307 7,52.1 42,50.3 148,13.2 4,15.8 273,33.8 68,34.8 274,28.2 335,48.7 273,47.8 144,48.4 107,38.8 31,38.2 294,42.1 23,21.7 3,65.0 255,+0.44 50,Duke,3,R64,2014,R,A
8,BE,12,10–2 8–1,122.3 6,98.1 53,.9269 8,55.2 8,48.0 62,17.6 87,17.5 183,30.9 163,31.4 133,48.4 20,41.1 124,51.4 33,46.0 46,39.9 16,34.7 172,44.6 11,32.2 158,67.8 114,+5.0 1,Villanova,2,R32,2014,R,A
9,B10,10,4–6 4–5,122.8 5,99.1 71,.9220 9,50.6 75,52.9 255,17.5 77,17.8 151,38.0 15,25.9 12,39.9 110,46.1 231,51.6 28,51.1 210,31.9 238,37.6 271,27.4 300,33.9 215,72.6 10,+1.0 33,Iowa,11,R68,2014,R,A
10,MVC,12,12–0 9–0,120.4 9,97.6 44,.9179 10,54.0 15,46.4 29,18.0 112,16.8 214,33.4 75,25.2 3,46.5 33,39.8 107,53.2 12,45.0 31,37.0 67,32.5 76,36.9 77,36.5 277,65.0 255,+4.6 3,Wichita St.,1,R32,2014,R,A
11,B10,11,7–4 7–2,122.1 7,99.6 75,.9121 11,53.8 18,51.5 203,16.1 29,15.4 296,27.4 264,30.0 83,34.1 260,31.7 17,50.3 60,52.1 256,40.2 13,33.5 111,35.6 103,34.5 230,62.6 323,+4.1 8,Michigan,2,Elite Eight,2014,R,A
12,BE,11,7–4 5–4,126.6 1,103.3 135,.9120 12,57.3 4,51.4 197,15.1 13,14.3 330,27.9 256,27.6 29,30.5 317,40.0 108,53.2 12,49.7 148,41.4 7,36.1 229,46.0 5,36.6 282,64.4 273,+2.3 16,Creighton,3,R32,2014,R,A
13,ACC,11,7–4 7–2,113.2 36,92.5 10,.9104 13,46.2 261,47.4 49,15.4 16,19.0 75,36.1 34,27.4 26,38.4 143,41.4 133,44.9 251,42.1 8,33.1 191,39.3 316,27.9 290,31.9 149,60.6 345,+3.0 12,Virginia,1,Sweet Sixteen,2014,R,A
14,B12,9,5–4 5–4,117.0 16,96.9 38,.8978 14,49.3 124,49.5 117,15.5 17,15.6 286,31.4 141,28.7 50,32.3 292,37.7 80,45.5 224,46.4 52,37.1 62,37.2 256,37.4 74,33.8 213,70.5 27,+1.9 17,Oklahoma,5,R64,2014,R,A
15,B10,10,5–5 4–5,101.2 215,84.0 1,.8942 15,46.1 263,45.2 16,18.2 130,22.5 8,22.9 337,30.5 100,39.4 123,37.2 71,48.8 106,47.6 78,26.7 345,26.5 2,30.4 222,31.1 112,65.6 225,+1.8 19,Ohio St.,6,R64,2014,R,A
16,ACC,9,7–2 7–2,117.2 15,98.0 50,.8869 16,49.3 124,51.5 203,19.0 180,20.2 35,41.3 4,29.5 72,50.6 10,43.3 173,49.2 91,51.2 215,33.0 195,34.8 176,23.0 339,34.7 234,65.6 225,+3.5 10,Pittsburgh,9,R32,2014,R,A
17,Amer,10,7–3 7–2,107.4 108,89.9 4,.8846 17,47.3 206,44.7 13,19.9 228,21.4 17,34.5 53,34.5 265,33.2 279,36.9 67,44.8 254,44.4 23,34.8 127,30.3 26,34.5 136,33.0 179,63.0 315,+2.4 15,Cincinnati,5,R64,2014,R,A
18,B12,11,5–6 5–4,118.0 13,99.1 72,.8810 18,51.6 53,47.0 43,21.9 311,14.3 330,40.9 5,30.7 109,45.7 38,57.0 332,51.4 33,44.0 21,34.8 127,36.1 229,29.2 253,29.8 78,67.7 118,+1.3 27,Kansas,2,R32,2014,R,A
19,WCC,11,7–4 6–3,107.9 101,91.0 7,.8768 19,49.7 113,42.6 3,19.3 199,17.9 142,32.5 114,32.7 190,39.7 114,41.9 142,51.4 33,38.9 2,30.2 295,33.5 111,28.3 282,32.7 171,65.4 232,+1.1 32,Gonzaga,8,R32,2014,R,A
20,SEC,11,4–7 4–5,115.5 22,98.0 51,.8687 20,45.9 267,49.1 102,16.9 52,14.0 338,38.3 12,25.3 4,36.5 184,35.9 53,46.7 188,49.1 131,29.7 308,32.7 85,33.9 147,26.4 21,62.3 332,-0.5 72,Tennessee,11,Sweet Sixteen,2014,R,A
21,MWC,10,8–2 7–2,113.5 30,96.4 32,.8667 21,52.1 42,43.4 7,14.7 11,14.4 327,27.2 271,30.1 88,43.6 57,36.4 60,50.1 66,41.9 7,37.4 49,31.0 38,32.4 186,34.4 227,65.1 245,+2.5 14,New Mexico,7,R64,2014,R,A
22,CUSA,10,8–2 7–1,111.2 55,94.5 16,.8662 22,53.5 22,40.9 1,21.8 306,16.2 251,35.4 42,36.5 312,45.2 46,41.8 140,54.5 7,40.5 3,33.9 164,27.7 7,25.8 319,34.8 237,61.7 338,+1.1 31,UTEP,,,2014,R,A
23,P12,10,5–5 4–5,116.0 19,98.9 65,.8621 23,48.3 162,49.3 107,15.8 23,19.0 75,35.4 42,29.2 61,37.2 169,58.0 338,46.9 179,48.2 99,34.1 151,34.3 156,32.8 175,33.5 200,68.4 89,+0.7 43,Oregon,7,R32,2014,R,A
