rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,ACC,18,17–1 17–1,113.9 50,85.0 1,.9667 1,51.4 161,44.2 5,14.3 13,20.7 44,26.7 235,26.9 111,22.3 346,24.2 14,47.6 265,44.2 17,38.8 40,29.5 11,36.0 208,37.7 197,59.6 351,+7.4 1,Virginia,1,R64,2018,C,All
2,B10,18,15–3 15–3,125.9 2,95.1 23,.9618 2,57.2 14,49.6 100,14.5 16,16.3 270,25.2 268,27.0 116,33.2 173,22.7 8,52.9 80,48.2 101,42.5 3,34.8 166,40.1 102,33.9 68,67.2 244,+5.3 5,Purdue,2,Sweet Sixteen,2018,C,All
3,BE,18,14–4 14–4,129.4 1,98.5 65,.9585 3,60.3 2,50.4 140,13.8 6,17.5 216,25.2 268,29.2 205,27.1 313,29.0 80,62.9 1,50.3 180,38.4 45,33.8 114,48.0 12,34.1 72,70.1 97,+5.2 6,Villanova,1,CHAMPS,2018,C,All
4,ACC,18,13–5 13–5,119.7 12,91.4 3,.9573 4,54.5 53,45.4 12,18.3 193,17.6 206,36.4 6,29.5 215,33.5 164,21.8 4,53.7 59,44.1 14,37.1 81,31.7 36,38.5 133,37.4 186,70.1 97,+3.5 10,Duke,2,Elite Eight,2018,C,All
5,Amer,18,16–2 16–2,113.1 54,86.8 2,.9549 5,50.7 184,42.0 1,16.6 81,21.3 23,39.3 2,30.9 273,35.9 111,29.4 89,48.9 221,41.6 3,36.1 128,28.5 5,35.8 213,36.6 152,65.1 327,+3.5 9,Cincinnati,2,R32,2018,C,All
6,B10,18,15–3 15–3,119.8 11,93.5 9,.9454 6,55.2 37,47.8 44,16.2 60,15.6 297,29.7 128,24.0 30,30.9 225,30.9 115,55.8 24,45.4 27,35.8 144,34.6 151,31.6 302,37.5 189,66.1 295,+5.4 4,Ohio St.,5,R32,2018,C,All
7,B10,18,16–2 16–2,120.9 8,94.8 20,.9425 7,55.9 32,43.4 4,18.5 212,11.8 351,32.1 63,26.5 97,40.0 39,29.0 80,51.9 112,39.9 1,42.0 7,33.8 114,36.2 201,32.9 55,67.5 229,+6.1 3,Michigan St.,3,R32,2018,C,All
8,B12,18,11–7 11–7,122.0 6,96.0 30,.9400 8,50.7 184,50.6 149,16.9 97,20.3 51,36.4 6,31.1 278,28.4 286,46.4 348,48.9 221,46.9 58,35.9 134,38.0 289,36.9 179,37.2 178,68.7 176,+2.8 15,West Virginia,5,Sweet Sixteen,2018,C,All
9,B10,18,13–5 13–5,117.1 24,93.6 13,.9294 9,53.7 74,50.6 149,13.6 5,17.9 180,24.5 287,24.3 32,30.2 243,32.5 165,51.9 112,49.3 141,37.3 74,35.8 211,43.7 48,28.9 9,65.2 322,+3.9 8,Michigan,3,Finals,2018,C,All
10,WCC,18,17–1 17–1,117.7 20,94.5 18,.9253 10,56.4 24,46.1 20,13.8 6,17.3 224,32.8 50,21.0 7,28.2 291,28.9 76,58.4 7,43.6 10,35.5 157,33.9 117,38.6 131,34.5 79,69.2 144,+2.7 16,Gonzaga,4,Sweet Sixteen,2018,C,All
