rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,ACC,9,8–1 8–1,124.9 3,87.3 4,.9840 1,57.9 8,41.7 1,15.2 26,12.7 350,29.0 138,27.9 172,24.7 298,23.9 12,54.5 35,44.0 13,42.6 4,25.8 1,36.2 230,43.9 305,60.3 352,+5.4 2,Virginia,1,CHAMPS,2019,C,A-N
2,ACC,9,9–0 9–0,120.7 5,84.7 1,.9833 2,54.6 36,43.9 8,18.8 191,18.2 145,34.3 34,23.1 32,24.7 298,26.5 34,52.2 65,46.1 39,39.1 28,27.0 5,36.5 223,40.3 223,75.8 6,+5.1 3,North Carolina,1,Sweet Sixteen,2019,C,A-N
3,WCC,8,8–0 8–0,129.1 1,93.0 26,.9774 3,59.5 1,43.8 6,11.4 2,15.4 299,31.4 72,24.6 65,28.1 232,25.9 28,62.7 1,42.6 5,35.2 144,30.7 42,33.1 295,35.2 83,68.3 171,+3.1 12,Gonzaga,1,Elite Eight,2019,C,A-N
4,ACC,9,7–2 7–2,124.5 4,92.9 24,.9668 4,53.7 50,45.6 17,18.7 184,17.7 168,35.9 23,36.3 348,30.7 167,28.9 69,53.6 45,44.7 20,35.9 116,31.5 57,40.7 117,38.0 158,70.2 83,+4.1 5,Duke,1,Elite Eight,2019,C,A-N
5,Amer,9,8–1 8–1,119.6 11,91.0 17,.9588 5,54.2 45,44.8 12,17.3 96,18.3 139,35.0 27,22.8 26,30.9 160,48.4 342,49.8 149,45.7 36,39.9 17,29.0 14,43.6 59,39.4 195,68.4 168,+3.2 9,Houston,3,Sweet Sixteen,2019,C,A-N
6,SEC,9,7–2 7–2,117.2 18,89.5 10,.9565 6,52.3 94,47.1 35,16.8 72,17.8 163,27.3 188,27.5 158,38.7 38,27.7 52,51.0 110,44.0 13,36.7 84,34.3 143,30.2 331,41.5 247,66.9 239,+3.8 7,Kentucky,2,Elite Eight,2019,C,A-N
7,ACC,9,4–5 4–5,116.1 19,89.2 9,.9540 7,50.8 144,44.2 10,20.7 275,15.2 303,33.8 41,26.7 126,29.8 195,42.7 305,50.3 131,43.4 8,34.2 173,30.3 36,44.5 47,38.2 163,68.5 159,+0.7 41,Louisville,7,R64,2019,C,A-N
8,B12,9,7–2 7–2,114.9 23,88.8 7,.9511 8,50.8 144,48.7 67,18.9 198,21.4 33,32.5 58,31.2 278,23.4 313,35.1 199,46.4 270,49.6 127,38.2 50,31.6 61,40.8 114,42.0 258,61.5 349,+4.4 4,Kansas St.,4,R64,2019,C,A-N
9,SC,9,9–0 9–0,120.1 9,93.9 29,.9442 9,57.6 9,47.7 48,14.3 11,20.6 54,32.7 56,29.1 213,30.5 176,29.5 81,53.5 47,53.7 275,42.0 9,26.3 2,43.4 66,42.0 258,63.9 331,+2.6 15,Wofford,7,R32,2019,C,A-N
10,B12,9,6–3 6–3,111.3 51,87.5 5,.9406 10,50.1 175,48.1 53,17.6 114,22.3 22,26.3 226,29.4 222,27.2 257,34.5 187,49.5 161,45.5 34,34.0 181,34.7 163,39.4 148,40.1 217,66.7 254,+3.2 10,Texas Tech,3,Finals,2019,C,A-N
11,B10,10,6–4 6–4,113.7 30,89.6 11,.9388 11,49.4 205,46.8 29,14.2 10,15.8 277,20.6 331,26.7 126,23.6 311,31.8 130,48.7 188,46.6 48,33.6 198,31.7 64,40.2 131,28.3 1,66.9 239,+2.7 14,Michigan,2,Sweet Sixteen,2019,C,A-N
12,B10,10,7–3 7–3,111.5 48,88.1 6,.9375 12,49.2 213,41.9 2,13.6 5,14.3 321,24.0 280,28.6 190,23.7 308,31.0 115,46.7 257,43.0 7,36.0 111,26.4 3,34.9 261,33.8 45,63.1 336,+3.7 8,Wisconsin,5,R64,2019,C,A-N
13,SEC,9,6–3 6–3,128.1 2,101.3 115,.9374 13,56.9 14,51.0 143,15.2 26,15.8 277,31.2 76,29.2 215,29.1 212,39.2 265,60.1 3,46.3 41,33.9 185,38.4 287,35.0 259,41.6 249,68.2 175,+2.9 13,Tennessee,2,Sweet Sixteen,2019,C,A-N
14,B10,10,7–3 7–3,120.2 8,95.5 41,.9341 14,54.9 30,44.8 12,21.0 280,13.7 336,32.4 60,30.4 247,40.2 24,25.1 22,56.0 16,44.8 21,35.4 134,29.9 29,38.0 179,39.3 194,67.1 224,+4.0 6,Michigan St.,2,Final Four,2019,C,A-N
15,SEC,9,5–4 5–4,112.8 38,90.3 13,.9276 15,49.3 209,50.0 109,17.3 96,21.7 28,29.9 104,33.5 328,25.0 293,42.7 305,51.9 79,48.8 100,30.6 292,34.8 166,43.1 76,35.8 95,62.1 345,+2.1 16,Florida,10,R32,2019,C,A-N
16,SEC,9,9–0 9–0,120.4 6,96.7 53,.9255 16,50.4 155,49.1 80,17.4 105,19.2 101,36.5 19,32.6 314,37.3 51,41.0 289,51.2 107,52.5 233,32.4 236,28.8 13,31.9 314,36.7 120,70.0 92,+5.8 1,LSU,3,Sweet Sixteen,2019,C,A-N
17,A10,9,7–2 7–2,105.9 123,85.4 2,.9222 17,51.9 105,42.4 3,22.1 316,22.9 13,34.0 39,27.7 162,32.2 133,39.8 274,59.8 4,41.9 4,25.0 351,29.0 14,35.4 249,33.6 42,70.2 83,+1.0 32,VCU,8,R64,2019,C,A-N
18,ACC,9,5–4 5–4,111.4 49,91.5 19,.9059 18,48.2 246,50.1 114,20.3 259,19.2 101,30.3 97,24.5 62,37.0 57,29.0 72,45.7 294,50.4 154,34.3 169,33.2 97,44.0 52,52.2 352,63.1 336,+1.9 20,Virginia Tech,4,Sweet Sixteen,2019,C,A-N
19,ACC,9,5–4 5–4,109.9 65,90.6 16,.9019 19,49.2 213,44.1 9,18.7 184,17.6 175,27.7 172,26.6 121,33.5 111,43.0 312,48.5 200,40.1 2,33.5 201,33.9 119,41.3 105,37.2 138,69.9 99,+1.3 26,Florida St.,4,Sweet Sixteen,2019,C,A-N
20,B10,10,6–4 6–4,118.2 13,97.7 63,.8991 20,45.7 307,51.9 185,14.4 13,19.4 92,34.5 31,29.3 220,31.6 147,37.5 243,41.8 343,47.7 74,33.6 198,38.2 277,45.1 37,43.2 290,66.4 267,+3.1 11,Purdue,3,Elite Eight,2019,C,A-N
21,ACC,9,3–6 3–6,104.3 153,86.7 3,.8942 21,47.6 262,45.8 18,21.0 280,17.8 163,26.7 213,21.2 15,25.7 281,36.5 230,48.6 193,43.7 10,30.1 303,32.6 86,29.3 335,40.1 217,66.6 258,-0.30 73,Clemson,,,2019,C,A-N
22,B10,11,5–6 5–6,109.1 75,91.1 18,.8883 22,49.7 192,45.5 16,22.4 322,13.8 330,30.1 101,26.3 114,28.6 221,32.3 142,46.7 257,44.9 23,36.4 94,31.0 49,38.6 166,38.6 172,66.7 254,+1.7 21,Maryland,6,R32,2019,C,A-N
23,ASun,8,7–1 7–1,108.2 90,90.5 14,.8866 23,55.1 28,42.4 3,18.4 164,20.9 46,28.5 153,23.6 44,34.7 88,27.8 53,51.9 79,42.8 6,40.1 16,27.7 9,38.3 173,36.1 102,72.9 27,+0.5 46,Lipscomb,,,2019,C,A-N
24,ACC,9,5–4 5–4,112.8 37,94.7 36,.8826 24,51.1 137,46.8 29,18.4 164,20.5 57,28.7 146,35.7 343,28.1 232,42.6 304,49.8 149,47.5 69,35.3 140,30.7 42,42.0 90,48.1 339,67.6 203,+1.6 22,Syracuse,8,R64,2019,C,A-N
25,OVC,9,8–1 8–1,119.7 10,100.8 106,.8782 25,59.0 3,49.6 94,13.1 4,16.0 265,24.4 270,24.1 54,29.7 198,24.9 20,61.0 2,45.4 31,37.6 66,37.8 265,43.6 59,36.7 120,70.8 65,+1.1 31,Belmont,11,R64,2019,C,A-N
26,B12,9,4–5 4–5,120.3 7,101.4 117,.8780 26,51.8 107,52.1 191,16.3 49,16.0 265,29.7 115,31.7 294,26.3 274,28.9 69,52.3 63,48.5 94,34.0 181,39.0 293,40.1 135,36.3 107,68.0 188,+1.4 25,Iowa St.,6,R64,2019,C,A-N
27,B12,9,4–5 4–5,117.8 16,99.2 83,.8777 27,52.3 94,49.6 94,21.0 280,15.1 305,37.0 15,29.0 208,34.7 88,48.8 344,50.8 114,47.3 62,36.4 94,35.7 197,40.2 131,37.3 142,68.2 175,+1.5 23,Baylor,9,R32,2019,C,A-N
28,B12,9,2–7 2–7,113.5 32,96.0 46,.8731 28,49.9 184,49.4 87,16.7 65,16.2 253,27.5 180,30.6 251,19.2 346,32.3 142,47.3 242,44.1 15,35.5 132,39.5 303,43.8 55,35.0 77,63.3 333,-0.6 94,Texas,,,2019,C,A-N
29,Amer,9,5–4 5–4,109.6 69,92.8 23,.8712 29,52.5 81,46.9 32,20.3 259,20.7 52,26.5 216,33.6 330,34.8 86,29.9 89,51.4 97,47.9 79,36.2 102,30.1 34,37.8 188,36.7 120,64.9 317,+1.0 34,UCF,9,R32,2019,C,A-N
30,BE,9,6–3 6–3,118.0 14,100.3 99,.8659 30,58.0 6,50.1 114,19.0 203,15.5 294,27.4 184,28.2 181,29.4 205,38.7 261,53.5 47,45.5 34,42.9 3,38.2 277,41.5 100,38.7 175,68.2 175,+1.9 19,Marquette,5,R64,2019,C,A-N
31,A10,9,7–2 7–2,115.2 21,98.0 68,.8647 31,56.6 15,43.8 6,18.5 172,16.0 265,26.8 209,30.5 249,38.3 42,29.8 85,58.6 7,43.9 12,35.0 149,29.1 17,32.8 299,36.3 107,66.8 247,+1.2 28,Dayton,,,2019,C,A-N
32,B10,10,3–7 3–7,106.2 119,90.5 15,.8621 32,44.5 328,48.2 57,17.9 129,19.0 111,30.2 98,26.0 107,29.3 207,39.0 263,45.6 299,46.9 57,27.9 336,33.9 119,30.5 327,32.2 19,69.4 122,-0.13 69,Penn St.,,,2019,C,A-N
33,P12,9,7–2 7–2,109.5 70,94.0 30,.8532 33,55.4 22,51.7 175,21.1 285,25.9 1,26.9 205,35.6 342,28.3 228,35.9 220,54.2 39,51.7 208,38.1 53,34.5 151,41.0 112,36.4 112,66.4 267,+2.0 17,Washington,9,R32,2019,C,A-N
34,ACC,9,4–5 4–5,117.3 17,101.5 122,.8401 34,50.3 162,50.8 136,17.2 88,17.5 184,36.8 17,32.2 305,21.6 329,45.6 326,46.7 257,53.8 280,38.0 55,29.7 24,34.9 261,33.3 37,71.7 47,+0.5 47,N.C. State,,,2019,C,A-N
35,SEC,9,5–4 5–4,114.3 27,99.3 85,.8344 35,51.4 121,50.6 127,18.4 164,18.5 131,30.1 101,32.3 306,32.4 126,36.1 221,53.1 55,46.7 49,32.7 227,38.3 283,42.6 84,36.3 107,67.4 214,+1.5 24,Mississippi,8,R64,2019,C,A-N
36,SEC,9,4–5 4–5,108.6 86,94.5 35,.8314 36,48.3 241,49.7 99,20.1 248,18.7 120,34.6 30,29.6 225,37.1 54,35.2 201,49.1 173,47.8 76,31.1 273,35.4 186,34.5 273,36.2 105,69.4 122,+0.8 40,Mississippi St.,5,R64,2019,C,A-N
37,BE,9,4–5 4–5,118.7 12,103.3 151,.8305 37,52.7 74,53.5 252,16.1 45,16.2 253,29.1 134,29.0 208,28.8 218,32.8 155,51.9 79,50.5 157,35.6 129,38.1 276,53.9 5,44.6 314,64.1 327,-0.12 67,Villanova,6,R32,2019,C,A-N
38,Amer,9,6–3 6–3,106.6 113,92.9 25,.8290 38,43.5 336,50.3 118,17.0 80,20.1 66,39.0 6,26.8 132,31.8 144,29.3 78,43.6 331,46.8 53,28.9 323,36.7 227,35.2 255,42.5 271,62.4 344,+2.0 18,Cincinnati,7,R64,2019,C,A-N
39,B10,10,3–7 3–7,113.8 29,99.2 80,.8286 39,47.3 270,50.9 139,16.5 59,14.1 323,29.4 124,30.8 259,31.6 147,38.1 252,48.8 185,48.4 91,29.4 317,36.8 230,33.6 290,35.8 95,66.2 282,+0.07 59,Indiana,,,2019,C,A-N
40,WCC,8,4–4 4–4,107.9 93,94.2 32,.8267 40,47.6 262,48.2 57,18.1 144,14.5 316,34.4 32,24.2 58,27.4 251,35.3 205,48.7 188,44.8 21,30.2 301,37.5 255,32.6 303,30.1 6,62.8 341,-0.41 81,Saint Mary's,11,R64,2019,C,A-N
41,SC,9,6–3 6–3,105.7 130,92.6 22,.8207 41,54.6 36,46.6 27,19.2 210,20.5 57,24.2 273,31.6 293,27.6 243,26.4 33,55.3 22,46.3 41,36.0 111,31.3 53,50.9 8,37.9 156,66.8 247,-0.23 72,Furman,,,2019,C,A-N
42,SEC,9,4–5 4–5,113.1 35,99.4 87,.8146 42,49.8 187,52.3 200,17.8 127,20.9 46,29.8 107,35.1 338,28.5 224,43.1 314,45.5 300,52.1 219,36.2 102,35.1 175,49.1 12,41.2 243,68.5 159,+0.48 50,Auburn,5,Final Four,2019,C,A-N
43,BW,8,8–0 8–0,108.1 91,95.3 40,.8103 43,53.2 62,43.5 5,16.4 56,15.7 281,38.0 9,23.9 47,23.2 319,35.8 214,51.4 97,40.0 1,38.4 46,33.8 113,29.4 334,32.7 30,65.3 309,+1.3 27,UC Irvine,13,R32,2019,C,A-N
44,SEC,9,2–7 2–7,103.9 166,91.6 21,.8099 44,49.0 216,49.2 84,24.7 347,16.4 240,34.3 34,23.2 37,25.3 289,42.2 300,46.7 257,50.2 140,34.8 152,31.8 66,41.4 102,42.6 274,65.4 306,-1.0 112,Missouri,,,2019,C,A-N
45,SEC,9,3–6 3–6,115.3 20,101.7 125,.8091 45,52.6 76,52.6 214,20.4 263,17.4 191,30.8 85,33.0 320,31.0 158,29.0 72,51.8 86,50.0 132,36.1 109,37.3 250,34.6 270,43.7 299,70.3 80,+0.28 54,Texas A&M,,,2019,C,A-N
46,B12,9,2–7 2–7,108.4 88,95.7 44,.8073 46,47.2 273,49.9 106,17.3 96,16.8 217,27.2 191,30.7 253,25.6 285,30.1 94,46.6 264,50.0 132,32.2 243,33.2 97,34.1 280,42.6 274,66.0 288,-0.6 93,Oklahoma,9,R32,2019,C,A-N
47,ASun,8,7–1 7–1,110.3 61,97.8 64,.8000 47,58.5 4,46.1 20,19.0 203,20.8 49,27.2 191,27.2 145,23.6 311,32.7 152,59.7 5,48.0 82,37.9 58,28.4 11,43.3 69,34.4 60,61.5 349,+0.6 43,Liberty,12,R32,2019,C,A-N
48,WAC,8,7–1 7–1,110.9 56,98.3 73,.7997 48,52.1 99,50.6 127,19.6 224,21.2 37,40.4 1,21.1 13,40.6 20,35.5 209,53.7 43,50.2 140,33.2 210,34.3 143,41.7 96,34.5 62,66.9 239,+0.9 35,New Mexico St.,12,R64,2019,C,A-N
49,MAC,9,7–2 7–2,110.7 58,98.1 71,.7995 49,53.3 58,50.0 109,19.3 213,17.9 155,28.7 146,23.6 44,37.8 45,33.8 168,54.7 30,52.6 236,34.4 166,30.0 32,45.8 31,34.1 50,77.1 2,+1.1 30,Buffalo,6,R32,2019,C,A-N
50,B12,9,2–7 2–7,112.8 39,100.2 96,.7961 50,51.8 107,52.1 191,21.4 297,16.1 260,28.9 139,30.2 238,28.6 221,33.0 159,49.9 148,52.2 222,37.0 74,34.7 163,35.3 252,36.4 112,68.6 150,-0.5 87,TCU,,,2019,C,A-N
