rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,SEC,4,2–2 0–0,124.1 4,87.1 16,.9832 1,51.1 83,48.7 89,13.1 8,15.0 313,35.8 17,21.8 17,20.8 319,30.1 150,51.8 60,54.6 266,32.9 155,22.7 6,26.4 340,28.8 19,67.6 233,+1.0 19,Kentucky,2,R64,2022,N,A-N
2,WCC,5,3–2 0–0,119.4 6,85.8 11,.9781 2,58.2 5,44.5 20,16.6 40,15.3 306,29.6 121,21.6 15,29.9 131,29.4 129,61.9 1,41.6 7,35.4 78,33.3 147,41.8 103,34.7 96,73.8 17,+0.9 20,Gonzaga,1,Sweet Sixteen,2022,N,A-N
3,B12,3,3–0 0–0,114.4 22,85.1 6,.9678 3,53.2 37,45.3 29,19.6 171,28.6 2,32.0 66,34.6 310,34.9 54,39.2 292,46.7 206,48.5 86,46.0 1,26.3 19,29.1 325,36.1 123,68.4 202,+1.8 3,Iowa St.,11,Sweet Sixteen,2022,N,A-N
4,ACC,3,2–1 0–0,113.3 23,85.2 8,.9636 4,48.2 165,51.0 162,10.8 1,18.9 142,21.4 312,30.4 215,33.2 83,20.5 10,52.4 49,50.0 121,24.0 348,35.6 224,25.9 346,30.3 32,72.6 35,+1.3 12,Duke,2,Final Four,2022,N,A-N
5,B12,5,4–1 0–0,125.1 3,94.2 64,.9634 5,55.5 19,53.4 253,14.6 18,22.6 23,35.5 19,29.1 172,33.9 70,34.9 239,57.3 7,55.4 292,34.1 107,33.6 158,28.8 327,40.2 235,73.3 20,+1.5 9,Kansas,1,CHAMPS,2022,N,A-N
6,B10,4,4–0 0–0,128.0 1,97.3 119,.9588 6,60.8 1,48.6 87,16.3 33,14.1 339,32.8 53,26.6 88,33.0 87,23.4 35,60.9 2,47.8 71,40.4 11,33.0 142,39.2 154,45.2 327,66.6 275,+1.9 2,Purdue,3,Sweet Sixteen,2022,N,A-N
7,Amer,5,3–2 0–0,115.8 10,88.2 20,.9579 7,52.9 45,48.9 98,18.5 112,23.3 19,34.8 31,20.9 13,32.5 93,45.8 340,52.0 55,51.9 190,36.3 61,30.1 65,38.7 164,43.6 304,66.7 271,+0.46 43,Houston,5,Elite Eight,2022,N,A-N
8,BE,7,4–3 0–0,110.2 46,84.7 4,.9534 8,46.0 225,45.7 34,14.1 14,19.0 138,34.4 33,27.6 116,21.9 300,24.1 41,43.3 292,44.0 21,32.6 163,32.0 114,49.0 20,42.9 292,63.6 344,+1.1 18,Villanova,2,Final Four,2022,N,A-N
9,P12,4,3–1 0–0,109.4 50,84.6 3,.9506 9,45.8 235,46.7 48,14.5 17,17.1 239,35.0 27,20.3 9,24.7 249,30.8 164,43.6 286,52.6 209,33.8 120,26.5 20,30.9 306,45.8 334,66.5 281,+1.1 17,UCLA,4,Sweet Sixteen,2022,N,A-N
10,P12,5,5–0 0–0,111.7 33,86.7 14,.9487 10,50.3 107,39.9 2,13.7 12,15.6 298,31.2 85,28.7 157,28.3 168,21.4 16,48.0 175,41.3 5,38.4 28,25.2 10,24.3 352,38.6 196,65.1 321,+1.6 4,USC,7,R64,2022,N,A-N
11,B10,4,4–0 0–0,115.0 15,89.9 31,.9444 11,47.7 183,48.3 81,14.1 14,21.2 58,24.8 233,26.8 94,33.2 83,29.6 137,48.1 173,44.4 24,31.4 201,36.3 252,39.6 146,38.8 200,65.3 317,+2.4 1,Wisconsin,3,R32,2022,N,A-N
12,P12,4,3–1 0–0,113.3 25,89.6 27,.9370 12,50.4 104,45.1 27,20.4 210,19.1 131,33.8 40,35.0 319,35.6 48,32.5 189,56.6 14,43.2 16,26.6 317,31.9 110,37.2 200,42.2 279,75.0 6,+1.6 7,Arizona,1,Sweet Sixteen,2022,N,A-N
13,B12,5,4–1 0–0,121.1 5,96.7 103,.9302 13,52.5 51,53.7 262,18.9 135,25.2 8,39.3 2,33.8 288,28.1 173,33.3 207,49.7 128,54.8 273,38.3 30,34.7 189,35.4 236,39.1 208,65.3 317,+1.6 6,Baylor,1,R32,2022,N,A-N
14,ACC,6,3–3 0–0,107.6 62,87.1 15,.9200 14,50.2 109,45.4 31,16.6 40,22.4 28,25.0 225,27.6 116,30.3 125,29.0 119,45.2 248,48.7 88,38.3 30,26.7 24,40.3 131,37.9 178,66.2 292,-0.10 70,Virginia Tech,11,R64,2022,N,A-N
15,MVC,6,4–2 0–0,114.5 21,92.7 49,.9195 15,55.5 19,47.3 59,20.3 202,18.0 187,26.1 195,26.7 90,25.6 225,25.0 54,54.1 31,51.8 187,38.2 32,25.5 12,45.6 47,32.7 60,63.7 342,+1.2 14,Loyola Chicago,10,R64,2022,N,A-N
16,SEC,6,5–1 0–0,114.7 20,92.8 51,.9188 16,52.5 51,49.4 108,15.3 23,23.9 15,32.7 54,30.9 227,28.0 175,36.7 268,51.5 66,46.0 43,36.1 64,36.8 268,40.2 136,37.0 147,70.1 121,+1.6 5,Auburn,2,R32,2022,N,A-N
