rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,SEC,16,14–2 7–2,115.3 23,83.2 2,.9772 1,53.3 130,38.6 1,16.4 106,23.7 18,38.2 7,28.6 223,35.7 126,32.4 250,55.8 54,40.3 2,33.0 259,24.2 1,39.7 119,42.6 322,66.3 254,+2.1 23,Tennessee,4,Sweet Sixteen,2023,R,H
2,SEC,15,15–0 9–0,121.6 3,88.6 12,.9746 2,56.3 42,40.1 2,17.2 145,17.1 261,36.2 27,27.6 185,39.1 66,31.4 228,60.0 4,39.0 1,35.1 180,28.5 29,50.2 3,29.6 14,73.8 3,+3.7 4,Alabama,1,Sweet Sixteen,2023,R,H
3,Amer,18,16–2 8–1,115.3 25,86.5 6,.9647 3,52.6 165,41.7 4,16.0 80,23.5 19,41.1 2,24.8 76,30.0 266,33.9 283,53.7 115,42.7 12,34.0 220,27.0 10,38.1 173,45.2 349,64.2 337,+1.5 31,Houston,1,Sweet Sixteen,2023,R,H
4,WCC,17,15–2 8–0,113.9 32,86.7 7,.9583 4,53.8 104,45.0 32,14.6 29,19.6 135,34.6 45,18.1 1,34.1 166,30.3 200,52.7 151,43.3 17,37.2 99,32.4 141,36.3 227,32.9 60,63.4 348,+1.5 32,Saint Mary's,5,R32,2023,R,H
5,B10,16,14–2 8–2,121.3 4,92.8 31,.9564 5,53.3 130,47.8 112,16.2 93,16.7 283,41.3 1,20.5 6,38.6 76,18.1 4,55.7 55,48.0 149,33.1 256,31.6 104,40.1 110,35.9 142,64.7 322,+2.3 13,Purdue,1,R64,2023,R,H
6,P12,17,17–0 10–0,112.9 42,86.4 5,.9559 6,52.7 160,45.5 43,15.7 66,25.2 6,38.0 10,26.5 146,26.5 322,24.5 61,53.5 120,46.5 83,33.9 226,29.1 35,31.0 327,36.6 167,67.8 180,+3.6 5,UCLA,2,Sweet Sixteen,2023,R,H
7,BE,15,13–2 9–1,115.7 22,89.4 13,.9507 7,57.4 22,44.9 31,15.9 75,16.5 293,27.7 220,23.3 39,26.8 319,16.9 2,58.3 13,45.2 49,37.5 90,29.6 43,44.7 30,31.0 35,67.9 176,+1.8 26,Creighton,6,Elite Eight,2023,R,H
8,MWC,15,14–1 8–1,113.8 33,88.1 9,.9502 8,53.0 146,45.9 53,17.8 195,21.2 61,33.0 74,25.2 88,35.8 124,27.2 122,52.6 157,48.3 159,35.8 148,28.3 25,37.1 199,41.2 294,67.3 210,+2.1 22,San Diego St.,5,Finals,2023,R,H
9,BE,17,15–2 8–2,119.3 6,92.7 30,.9476 9,55.7 51,44.1 21,17.6 177,20.9 71,37.6 14,25.5 104,37.8 86,37.3 320,56.1 47,45.2 49,36.8 113,27.5 14,41.3 86,27.6 3,69.4 113,+1.8 29,Connecticut,4,CHAMPS,2023,R,H
10,B12,16,13–3 6–3,109.3 98,85.6 3,.9431 10,52.8 154,47.1 86,17.6 177,28.7 1,32.7 85,24.3 56,30.7 250,36.2 313,51.8 186,48.8 183,36.5 123,30.1 57,34.8 273,46.5 354,65.4 301,+1.5 33,Iowa St.,6,R64,2023,R,H
11,B12,18,17–1 8–1,119.1 8,93.3 37,.9425 11,56.2 44,47.3 94,15.6 60,22.3 44,30.3 146,27.7 191,32.4 205,31.6 234,57.2 26,47.4 123,36.2 133,31.5 99,35.8 240,35.9 142,70.3 73,+4.5 1,Texas,2,Elite Eight,2023,R,H
12,WCC,15,14–1 7–1,124.6 2,99.4 113,.9306 12,60.2 2,50.8 250,13.3 10,20.1 107,33.9 57,26.5 146,36.2 113,25.9 95,63.0 1,51.3 275,36.2 133,33.4 187,32.4 304,40.3 281,70.8 56,+1.8 28,Gonzaga,3,Elite Eight,2023,R,H
13,P12,17,15–2 8–2,118.1 13,94.4 44,.9298 13,57.3 24,45.4 42,18.7 252,17.5 233,32.4 90,25.5 104,44.8 18,25.6 87,57.3 24,44.0 29,38.2 64,31.8 109,38.6 155,38.7 236,73.3 5,+2.1 20,Arizona,2,R64,2023,R,H
14,B12,17,16–1 8–1,107.7 116,86.4 4,.9267 14,50.7 232,43.4 12,17.9 205,23.1 25,32.0 100,29.7 266,38.8 71,31.1 217,51.0 211,45.3 53,33.3 248,26.7 7,35.5 249,36.3 156,69.2 121,+4.0 3,Kansas St.,3,Elite Eight,2023,R,H
15,B12,17,14–3 6–3,118.8 10,95.5 59,.9251 15,54.8 78,49.3 184,17.8 195,22.4 41,36.7 20,27.2 170,42.0 33,29.9 194,52.6 157,51.5 282,38.3 61,30.4 60,45.0 26,36.9 176,69.2 121,+1.9 25,Baylor,3,R32,2023,R,H
16,SEC,17,14–3 6–3,109.0 102,88.1 10,.9205 16,52.9 149,43.7 17,17.6 177,22.5 37,30.1 150,26.7 155,39.9 56,35.6 307,54.4 91,43.3 17,32.7 268,29.8 47,27.4 350,30.9 34,71.2 43,+0.9 45,Arkansas,8,Sweet Sixteen,2023,R,H
17,P12,13,10–3 7–3,113.2 38,91.6 22,.9189 17,53.1 139,45.9 53,17.2 145,19.1 156,32.0 100,25.6 107,29.4 279,28.2 155,48.0 301,45.3 53,39.5 34,31.6 104,45.0 26,29.5 13,64.6 327,+0.49 50,Washington St.,,,2023,R,H
18,B10,14,12–2 7–2,112.2 56,91.0 15,.9175 18,53.9 99,44.4 23,16.0 80,15.6 333,26.7 250,23.9 44,22.3 359,27.1 120,48.4 289,47.9 146,41.9 9,25.4 3,38.0 177,35.8 137,65.3 304,+2.1 21,Michigan St.,7,Sweet Sixteen,2023,R,H
19,B12,17,13–4 5–4,117.4 15,95.6 60,.9137 19,52.7 160,49.3 184,17.0 133,21.6 53,32.2 94,29.7 266,41.4 40,35.6 307,51.3 200,48.4 166,36.9 109,34.0 216,36.5 222,35.3 116,70.7 63,+1.3 36,West Virginia,9,R64,2023,R,H
20,ACC,16,16–0 10–0,114.0 31,93.1 35,.9115 20,52.4 172,44.4 23,17.0 133,17.3 253,39.4 5,24.9 79,31.9 218,19.6 6,52.2 173,44.3 33,35.2 176,29.8 47,35.2 258,37.1 184,66.3 254,+2.9 8,Duke,5,R32,2023,R,H
21,B12,16,15–1 8–1,115.3 24,94.3 42,.9092 21,53.7 109,47.7 109,15.3 49,20.8 79,29.6 169,26.9 163,32.0 217,30.3 200,53.3 129,48.1 154,36.4 126,31.4 91,32.7 300,36.8 171,70.1 82,+4.0 2,Kansas,1,R32,2023,R,H
22,BE,17,16–1 10–0,119.1 7,97.7 82,.9075 22,57.7 18,52.9 313,14.9 36,24.8 9,25.2 289,30.1 277,32.5 201,27.7 132,60.2 3,53.7 334,36.0 143,34.4 232,41.1 89,37.6 196,71.5 34,+3.4 6,Marquette,2,R32,2023,R,H
23,B10,17,15–2 8–2,115.2 26,94.9 52,.9035 23,56.8 29,46.9 81,16.0 80,18.4 185,28.1 207,25.0 80,29.8 270,31.2 220,55.4 62,46.1 73,40.4 18,32.2 126,26.8 353,38.1 220,69.5 110,+2.5 11,Indiana,4,R32,2023,R,H
24,B10,17,16–1 10–0,118.1 14,97.3 77,.9027 24,54.0 95,47.7 109,14.9 36,18.8 170,31.5 112,27.6 185,39.3 63,21.4 14,55.5 59,46.8 99,34.3 209,33.0 171,35.3 254,32.0 45,65.1 308,+3.4 7,Maryland,8,R32,2023,R,H
25,SEC,16,15–1 9–0,110.3 81,91.0 16,.9012 25,50.9 226,43.1 11,19.2 274,19.9 116,34.8 42,29.1 239,48.2 6,27.3 126,50.8 215,41.9 8,34.0 220,29.6 43,34.8 273,46.7 356,66.4 249,+2.8 9,Texas A&M,7,R64,2023,R,H
26,B10,19,14–5 6–4,100.4 249,82.9 1,.9012 26,48.8 294,42.4 6,17.4 161,23.4 20,30.8 137,25.6 107,34.3 160,23.7 44,49.6 251,44.9 42,31.3 314,26.0 4,31.3 320,42.9 326,67.8 180,-0.7 101,Rutgers,,,2023,R,H
27,BE,17,15–2 9–1,118.3 11,97.7 80,.9008 27,56.3 42,49.3 184,17.5 168,17.8 222,33.2 69,25.0 80,36.8 103,26.5 106,56.0 50,47.4 123,38.0 74,35.3 270,31.2 321,33.8 84,71.7 29,+2.6 10,Xavier,3,Sweet Sixteen,2023,R,H
28,ACC,16,15–1 10–0,110.8 75,91.5 20,.9002 28,52.9 149,45.7 47,13.3 10,20.6 90,24.8 297,25.3 96,39.0 68,21.7 16,54.6 86,43.4 22,33.4 247,32.8 159,38.4 163,39.2 253,61.4 360,+2.4 12,Virginia,4,R64,2023,R,H
29,B12,17,13–4 6–3,109.6 94,90.5 14,.8999 29,50.8 229,45.0 32,17.2 145,22.8 30,35.5 34,29.6 260,37.3 94,25.3 80,53.1 135,44.9 42,30.2 337,30.0 53,29.6 338,35.8 137,71.1 46,+0.6 48,TCU,6,R32,2023,R,H
30,SEC,16,14–2 7–2,112.4 50,93.0 33,.8989 30,50.2 256,45.0 32,17.5 168,20.4 95,35.3 36,32.9 336,38.5 78,37.5 325,52.0 178,46.4 81,31.3 314,28.1 19,35.2 258,33.9 88,68.3 164,+2.1 19,Auburn,9,R32,2023,R,H
31,CUSA,15,15–0 10–0,115.0 27,95.7 61,.8920 31,56.9 28,48.0 122,16.2 93,21.1 66,31.7 109,24.2 50,30.8 241,24.2 55,56.9 29,45.4 59,37.9 79,35.3 270,45.9 18,34.3 96,69.2 121,+2.2 14,Florida Atlantic,9,Final Four,2023,R,H
32,MVC,15,14–1 9–1,110.0 88,91.6 21,.8910 32,58.2 12,41.0 3,17.2 145,20.5 93,31.1 124,23.9 44,28.6 296,29.9 194,57.3 24,40.9 5,39.8 32,27.4 13,39.8 116,38.6 232,66.4 249,+0.26 56,Bradley,,,2023,R,H
33,MWC,15,14–1 9–0,109.4 96,91.7 23,.8845 33,54.0 95,45.3 38,16.7 116,18.4 185,27.4 224,23.1 34,31.8 223,25.8 94,53.0 140,46.2 76,37.1 106,29.2 37,36.8 210,36.4 159,67.8 180,+2.2 18,Boise St.,10,R64,2023,R,H
34,ASun,16,15–1 9–0,112.8 43,94.7 48,.8819 34,58.6 10,47.9 116,14.8 34,20.6 90,26.7 250,18.5 2,25.7 334,24.6 67,60.0 4,47.5 129,38.2 64,32.3 136,50.5 2,35.9 142,64.4 332,+0.24 58,Liberty,,,2023,R,H
35,CUSA,12,10–2 8–2,108.3 108,91.1 17,.8794 35,52.0 187,44.1 21,19.6 294,20.0 110,32.5 87,25.2 88,33.4 179,33.3 269,51.5 193,44.8 39,35.2 176,28.6 30,43.0 56,35.0 107,58.4 363,-0.17 78,North Texas,,,2023,R,H
36,ACC,16,15–1 9–1,113.0 40,95.1 54,.8791 36,58.1 13,46.0 58,15.6 60,17.1 261,23.2 326,23.2 37,33.1 187,28.1 147,56.6 36,43.8 25,40.1 27,32.6 153,41.3 86,41.4 299,68.2 170,+2.0 24,Clemson,,,2023,R,H
37,SEC,18,14–4 6–3,116.1 21,97.7 83,.8789 37,53.9 99,48.0 122,15.8 69,18.4 185,39.7 4,25.3 96,34.2 164,25.4 83,52.6 157,47.1 111,38.1 70,33.0 171,29.2 341,36.1 150,66.3 254,+0.06 66,Kentucky,6,R32,2023,R,H
