rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
1,B12,8,8–0 0–0,111.7 82,72.5 1,.9932 1,51.8 196,38.4 7,14.7 89,33.4 1,45.2 6,26.4 126,37.3 153,33.4 244,52.7 171,38.0 9,33.5 199,26.0 45,37.5 187,42.5 296,66.2 303,+0.47 35,Houston,1,Sweet Sixteen,2024,N,H
2,B10,6,6–0 0–0,121.7 12,82.4 5,.9889 2,60.8 24,40.5 18,14.6 77,17.8 194,31.8 151,21.9 33,40.7 106,14.4 5,59.8 41,44.8 98,41.5 40,22.8 15,39.3 138,40.7 263,72.1 73,+0.7 17,Purdue,1,Finals,2024,N,H
3,B12,9,9–0 0–0,118.7 23,81.3 4,.9874 3,59.9 35,42.9 48,14.8 96,29.2 3,33.7 111,22.2 34,42.0 82,27.7 152,57.6 77,40.2 27,43.4 23,30.7 140,30.3 315,46.8 337,71.8 82,+0.5 32,Iowa St.,2,Sweet Sixteen,2024,N,H
4,P12,6,6–0 0–0,121.6 13,85.1 7,.9838 4,60.2 30,44.6 84,15.8 137,21.0 80,39.9 17,14.4 4,37.2 156,21.4 44,59.3 47,40.8 34,41.3 43,33.6 221,34.0 257,40.1 251,76.7 9,+0.9 6,Arizona,2,Sweet Sixteen,2024,N,H
5,SEC,7,6–1 0–0,128.0 3,93.6 41,.9733 5,61.6 18,45.3 100,14.7 89,17.0 232,35.7 71,25.5 111,44.6 63,32.6 228,57.2 87,46.4 138,44.8 14,29.1 108,44.1 53,39.5 237,74.0 28,+0.25 68,Alabama,4,Final Four,2024,N,H
6,B10,8,7–1 0–0,115.0 43,86.3 9,.9643 6,54.0 130,40.3 17,15.6 126,19.0 152,33.9 105,29.2 209,39.5 118,25.3 97,57.6 77,38.0 9,31.3 252,28.8 98,33.7 263,44.2 320,68.5 210,+0.22 75,Michigan St.,9,R32,2024,N,H
7,ACC,7,7–0 0–0,105.7 174,79.5 3,.9634 7,54.2 126,37.8 4,12.1 26,25.1 20,29.9 200,26.8 138,30.9 248,27.2 141,52.6 174,39.3 18,38.1 93,23.7 21,34.8 239,38.7 216,61.7 349,+0.7 24,Virginia,10,R68,2024,N,H
8,B12,9,9–0 0–0,122.3 10,92.3 33,.9621 8,60.4 27,42.6 44,12.7 33,18.3 172,39.3 18,20.2 22,19.5 343,21.1 35,62.8 16,45.7 125,38.7 79,24.2 27,50.1 12,32.9 82,70.5 126,+0.7 18,BYU,6,R64,2024,N,H
9,SEC,7,7–0 0–0,120.7 16,91.4 25,.9610 9,53.1 152,42.4 39,14.5 72,19.8 125,37.1 48,26.1 120,45.2 58,34.7 258,57.1 88,40.5 32,31.6 243,30.6 135,41.1 105,35.9 148,72.5 60,+0.8 14,Auburn,4,R64,2024,N,H
10,B12,7,7–0 0–0,128.0 2,96.9 74,.9607 10,64.8 5,43.4 56,15.8 137,18.7 161,41.2 12,25.1 97,36.4 168,21.4 44,59.8 41,46.2 134,48.2 5,25.4 39,39.5 132,33.6 96,68.9 194,+0.7 20,Baylor,3,R32,2024,N,H
11,SEC,7,7–0 0–0,112.9 66,85.8 8,.9588 11,52.2 179,38.8 9,15.3 112,20.9 83,36.9 53,27.8 160,35.2 193,26.6 130,51.8 190,39.2 16,35.2 160,25.4 39,42.0 86,42.2 289,70.0 141,+1.0 3,Tennessee,2,Elite Eight,2024,N,H
12,BE,6,6–0 0–0,123.1 8,93.6 42,.9586 12,60.1 31,47.8 172,14.9 100,23.2 38,28.1 250,28.3 185,33.9 211,22.1 52,62.2 21,50.5 235,38.3 89,29.6 116,44.6 47,44.5 323,73.1 40,+0.8 10,Marquette,2,Sweet Sixteen,2024,N,H
13,P12,7,7–0 0–0,121.9 11,95.1 56,.9457 13,63.2 9,44.9 89,18.2 245,18.0 184,37.1 48,24.3 71,37.3 153,29.9 186,60.4 32,44.4 90,45.9 9,30.7 140,32.7 281,35.3 131,72.6 56,+0.41 44,Colorado,10,R32,2024,N,H
14,BE,6,6–0 0–0,127.2 4,99.5 122,.9440 14,66.3 3,43.5 59,14.5 72,9.2 353,34.1 100,24.1 65,30.7 250,12.2 3,71.8 2,45.1 105,40.8 49,25.3 38,51.0 11,22.2 2,68.1 234,+1.0 5,Creighton,3,Sweet Sixteen,2024,N,H
15,ACC,5,5–0 0–0,125.1 5,98.0 92,.9430 15,55.9 87,46.8 145,12.1 26,17.5 204,35.6 73,24.1 65,38.4 136,14.8 6,56.4 99,44.1 84,36.6 128,33.6 221,34.7 243,42.2 289,73.3 35,+0.8 12,North Carolina,1,Sweet Sixteen,2024,N,H
16,ACC,6,6–0 0–0,120.2 19,94.4 48,.9417 16,59.5 37,46.7 140,14.2 64,14.6 310,34.0 103,17.5 11,25.7 311,28.7 172,56.6 96,44.7 97,43.0 26,32.9 206,37.7 183,42.8 300,70.4 130,+0.9 8,Clemson,6,Elite Eight,2024,N,H
17,SWAC,1,1–0 0–0,94.6 310,74.4 2,.9403 17,50.0 240,33.7 1,13.4 42,32.7 2,25.8 282,32.3 280,24.1 329,50.0 342,62.2 21,39.3 18,19.0 347,16.7 3,36.2 218,39.1 227,70.2 135,+0.03 126,Southern,,,2024,N,H
18,WCC,9,6–3 0–0,113.3 56,89.3 17,.9394 18,53.4 144,41.7 30,18.8 265,18.7 161,41.6 11,24.5 76,24.5 323,33.5 245,55.6 117,39.3 18,33.3 202,31.9 177,38.8 150,28.5 21,64.8 327,-1.6 265,Saint Mary's,5,R64,2024,N,H
19,B12,9,9–0 0–0,111.6 85,88.3 14,.9368 19,56.8 67,39.5 11,19.2 282,20.9 83,35.0 84,28.1 175,32.0 234,27.4 148,55.9 110,39.7 24,38.8 74,26.1 47,37.3 190,29.1 25,68.3 222,+0.6 26,Texas,7,R32,2024,N,H
20,SEC,6,6–0 0–0,119.5 20,95.0 55,.9335 20,57.6 57,41.2 24,18.0 232,16.8 241,45.7 5,30.2 235,44.2 67,26.9 136,57.0 90,43.1 63,39.3 66,24.3 29,30.8 311,28.2 19,72.8 49,+0.43 41,Florida,7,R64,2024,N,H
