rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year
1,BE,40,37-3,128.0 1,91.3 4,.9799 1,56.9 7,44.4 3,14.5 34,16.0 247,36.7 12,26.7 78,31.9 202,31.1 134,59.1 4,43.2 4,35.8 69,31.2 33,40.2 102,32.9 43,64.6 327,+11.2 1,Connecticut,1,CHAMPS,2024
2,B12,37,32-5,119.6 15,86.5 1,.9766 2,50.3 195,44.0 2,13.8 9,24.4 3,36.8 10,31.2 282,30.8 236,39.4 316,49.2 226,43.1 3,34.8 132,30.1 11,36.8 191,40.1 282,63.4 349,+10.0 3,Houston,1,Sweet Sixteen,2024
3,B10,39,34-5,126.0 3,94.5 15,.9649 3,55.8 13,47.5 38,16.4 134,13.7 341,37.7 6,24.3 15,41.3 13,22.0 4,53.3 64,47.7 61,40.4 2,31.5 44,34.7 251,36.9 171,67.1 211,+10.6 2,Purdue,1,Finals,2024
4,SEC,35,27-8,121.0 10,93.1 7,.9534 4,54.2 35,43.7 1,15.1 56,18.1 102,32.9 59,30.2 225,38.3 42,41.5 335,55.1 22,42.9 1,35.2 105,30.2 12,37.5 176,33.4 51,70.0 56,+5.2 9,Auburn,4,R64,2024
5,B12,37,29-8,113.6 53,87.7 2,.9517 5,52.0 97,47.4 36,15.4 68,25.3 2,31.1 103,29.4 198,35.4 102,34.8 241,51.2 138,47.4 51,35.8 69,31.5 44,31.7 305,45.2 354,67.4 193,+6.3 6,Iowa St.,2,Sweet Sixteen,2024
6,P12,36,27-9,120.5 12,93.3 8,.9501 6,54.5 30,48.4 67,16.0 104,18.0 110,35.6 18,23.3 6,36.4 83,25.9 26,54.4 37,47.7 61,36.6 33,32.9 113,33.4 281,37.9 208,72.3 15,+4.9 10,Arizona,2,Sweet Sixteen,2024
7,SEC,36,27-9,115.9 31,90.4 3,.9455 7,51.1 147,45.3 5,14.5 34,18.5 79,32.2 75,28.2 138,33.7 147,35.7 260,50.8 151,44.3 8,34.4 152,31.2 33,41.2 79,41.1 301,69.2 84,+5.6 7,Tennessee,2,Elite Eight,2024
8,ACC,36,27-9,121.3 9,95.5 20,.9399 8,54.6 28,48.6 78,14.4 31,16.9 174,32.0 77,25.9 53,34.3 132,28.1 66,53.5 55,49.0 108,37.7 13,31.8 53,37.5 176,34.7 81,66.5 247,+3.5 15,Duke,4,Elite Eight,2024
9,ACC,37,29-8,119.2 18,94.3 14,.9369 9,51.5 126,46.7 18,14.1 19,14.8 310,33.0 58,23.7 10,36.2 88,28.2 69,50.2 178,46.0 23,35.9 61,32.0 61,36.1 211,35.8 119,70.5 47,+7.0 4,North Carolina,1,Sweet Sixteen,2024
10,BE,35,25-10,121.7 8,97.1 32,.9309 10,57.3 3,46.3 11,15.4 68,11.0 362,26.1 273,24.9 27,24.7 352,16.0 1,59.2 3,45.5 15,36.8 25,32.3 78,48.5 8,27.9 6,66.7 233,+4.4 13,Creighton,3,Sweet Sixteen,2024
11,BE,37,27-10,118.6 20,94.9 16,.9289 11,55.0 20,49.8 133,14.3 27,21.1 19,25.7 285,30.8 266,25.5 344,26.9 38,56.6 12,49.3 124,35.2 105,33.7 162,41.1 84,42.8 335,69.1 90,+6.6 5,Marquette,2,Sweet Sixteen,2024
12,WCC,35,27-8,123.6 5,99.1 57,.9269 12,57.0 6,47.3 32,14.0 15,16.1 241,33.2 51,27.7 111,30.7 240,25.2 19,58.3 7,45.1 13,36.2 43,34.1 195,31.3 312,36.6 148,68.8 103,+2.4 23,Gonzaga,5,Sweet Sixteen,2024
13,B10,38,29-9,125.7 4,101.1 91,.9247 13,53.6 48,48.0 46,15.0 51,12.3 360,35.6 18,26.3 64,37.1 68,26.7 33,54.4 37,46.8 36,34.9 125,34.1 195,38.6 142,28.3 7,69.7 68,+5.6 8,Illinois,3,Elite Eight,2024
14,SEC,37,25-12,126.1 2,102.5 121,.9154 14,56.3 10,49.7 127,15.9 95,15.2 294,34.9 25,30.9 271,35.3 106,38.8 307,56.7 10,50.9 199,37.3 19,31.7 51,46.5 19,37.2 183,72.3 14,+3.3 16,Alabama,4,Final Four,2024
15,WCC,34,26-8,115.3 35,94.1 11,.9124 15,52.8 67,45.1 4,16.0 104,16.7 189,38.7 3,22.3 1,28.0 304,33.4 201,52.7 81,43.8 5,35.3 98,32.3 78,36.8 191,29.2 8,62.5 357,+1.4 35,Saint Mary's,5,R64,2024
16,BE,33,20-13,120.1 13,98.5 44,.9067 16,50.9 156,49.5 113,15.7 84,18.5 79,38.6 4,30.3 229,27.3 324,34.4 231,50.8 151,47.9 71,34.1 164,35.0 254,32.5 295,35.9 123,69.3 79,+0.47 52,St. John's,,,2024
17,B12,35,24-11,122.6 7,101.0 88,.9028 17,55.7 14,51.4 234,17.7 216,17.0 164,35.0 24,26.9 89,40.2 22,31.2 136,53.5 55,52.1 257,39.5 4,33.4 142,38.9 133,35.4 103,65.8 276,+4.5 12,Baylor,3,R32,2024
18,B10,35,20-15,113.3 55,93.5 9,.9015 18,51.6 121,48.0 46,15.0 51,18.5 79,29.8 139,28.5 148,29.3 272,32.4 176,50.5 164,47.4 51,36.2 43,32.6 96,30.5 323,41.6 311,65.4 306,-0.19 56,Michigan St.,9,R32,2024
19,B12,34,21-13,116.6 29,96.5 25,.8980 19,53.0 64,48.1 54,16.9 174,18.8 64,29.9 134,30.1 222,30.2 254,34.0 221,53.1 70,47.0 44,35.4 92,33.5 147,34.9 246,32.9 43,67.4 191,+0.7 46,Texas,7,R32,2024
20,ACC,36,24-12,117.7 23,97.4 34,.8978 20,53.9 44,48.2 56,14.8 43,13.9 337,27.2 240,26.6 72,30.7 240,32.1 165,54.6 33,47.1 47,35.1 112,33.1 126,39.9 108,41.1 301,66.3 258,+1.0 41,Clemson,6,Elite Eight,2024
21,B12,34,23-11,113.7 51,94.2 13,.8971 21,53.5 50,48.3 60,16.5 143,16.5 206,25.7 285,26.5 70,32.5 184,28.5 76,54.7 30,45.8 20,33.6 194,34.6 233,29.8 334,41.0 296,69.0 93,+3.8 14,Kansas,4,R32,2024
22,SEC,36,24-12,120.5 11,100.2 76,.8936 22,51.8 109,49.3 106,15.7 84,14.5 316,37.3 8,28.8 168,38.4 40,34.8 241,51.8 112,49.5 136,34.5 144,32.6 96,34.5 258,32.4 36,71.8 19,+2.8 21,Florida,7,R64,2024
23,P12,37,26-11,118.3 21,98.6 45,.8902 23,55.4 15,49.7 127,18.1 249,15.2 294,32.0 77,24.7 22,35.1 111,27.3 47,54.0 40,50.6 180,39.1 6,32.1 66,30.6 322,35.2 96,67.7 170,+1.7 30,Colorado,10,R32,2024
24,B12,34,23-11,119.8 14,99.9 70,.8897 24,54.8 23,48.2 56,15.3 64,16.0 247,32.8 65,24.6 21,25.4 345,32.0 161,57.5 8,48.3 84,34.8 132,32.0 61,50.4 4,34.0 65,69.1 89,+2.3 25,BYU,6,R64,2024
25,B10,36,22-14,118.8 19,99.1 59,.8892 25,52.2 88,52.0 259,14.9 47,16.9 174,30.2 121,24.5 18,33.8 146,33.8 214,52.2 93,50.2 166,34.9 125,36.9 336,35.5 226,34.3 74,65.2 309,+2.9 18,Wisconsin,5,R64,2024
26,B10,34,23-11,116.0 30,96.9 29,.8882 26,53.1 61,46.7 18,15.8 93,16.2 228,27.6 219,30.3 229,32.6 181,27.7 58,52.8 78,45.2 14,35.7 73,32.5 89,44.3 32,41.4 308,69.0 97,+2.0 27,Nebraska,8,R64,2024
27,SEC,33,23-10,122.7 6,102.7 124,.8863 27,57.2 4,49.6 123,14.2 23,15.9 256,28.9 170,30.3 229,30.4 246,33.5 204,54.7 30,49.4 131,40.9 1,33.2 132,37.5 176,40.1 282,72.5 13,+2.8 19,Kentucky,3,R64,2024
28,MWC,37,26-11,112.0 71,94.1 12,.8802 28,49.9 220,47.3 32,16.2 114,18.1 102,32.7 69,28.7 163,36.7 77,33.1 192,51.5 124,47.8 69,31.5 296,31.0 29,38.0 157,40.3 285,66.2 263,+2.2 26,San Diego St.,5,Sweet Sixteen,2024
29,MWC,36,26-10,113.9 48,96.0 23,.8774 29,50.5 183,48.1 54,14.0 15,19.3 49,33.5 43,27.0 96,33.2 158,33.4 201,51.1 143,49.2 119,32.7 241,30.7 21,29.9 330,36.5 143,72.8 10,+1.5 33,New Mexico,11,R64,2024
30,ACC,33,22-11,116.7 27,98.8 53,.8712 30,51.6 121,49.0 87,13.4 7,16.6 196,31.0 105,23.8 12,30.5 244,30.5 123,50.0 192,50.8 193,35.7 73,30.8 23,44.4 31,38.6 236,65.9 272,+0.6 48,Pittsburgh,,,2024
31,BE,34,18-16,110.4 91,93.8 10,.8674 31,50.6 174,48.3 60,14.7 39,16.2 228,24.9 298,24.3 15,26.8 333,26.0 28,50.5 164,47.6 58,33.8 181,32.8 109,48.0 11,45.3 355,63.7 347,-1.2 68,Villanova,,,2024
32,B12,34,23-11,116.9 25,99.3 62,.8669 32,52.6 74,49.2 99,16.5 143,17.0 164,30.2 121,30.3 229,34.2 136,27.2 45,51.6 120,49.8 147,35.9 61,32.2 75,41.4 74,38.6 236,66.5 245,+2.8 20,Texas Tech,6,R64,2024
33,SEC,36,21-15,117.7 22,100.0 71,.8667 33,45.7 340,50.5 180,14.1 19,16.7 189,42.2 1,27.9 123,38.6 38,31.9 156,46.8 310,50.3 171,29.3 342,33.8 166,37.7 167,44.9 351,66.1 265,-0.06 55,Texas A&M,9,R32,2024
34,SEC,35,21-14,112.3 67,95.5 21,.8652 34,51.4 139,48.0 46,18.9 299,18.4 89,35.4 20,27.9 123,37.4 63,31.8 154,53.4 57,50.3 171,32.2 261,29.8 8,38.5 146,41.2 306,67.1 208,+0.6 50,Mississippi St.,8,R64,2024
35,ACC,35,21-14,117.0 24,99.7 69,.8624 35,54.2 35,49.1 94,15.4 68,16.4 211,26.4 266,25.8 50,32.0 195,30.1 116,54.0 40,48.9 101,36.4 37,33.1 126,37.4 182,35.5 107,68.3 134,-1.0 66,Wake Forest,,,2024
36,MWC,34,26-8,115.0 37,98.1 38,.8617 36,53.2 58,48.4 67,15.2 61,17.4 139,27.3 233,26.9 89,45.0 6,34.2 226,52.5 89,49.1 113,36.4 37,31.6 50,33.7 273,41.0 296,66.9 223,+2.5 22,Nevada,10,R64,2024
37,B10,34,22-12,115.7 34,98.8 51,.8592 37,52.6 74,51.5 239,13.4 7,18.8 64,25.8 283,27.8 115,29.2 277,39.3 315,49.2 226,51.4 226,39.0 7,34.5 226,36.4 202,37.3 190,64.0 340,+1.1 39,Northwestern,9,R32,2024
38,BE,37,25-12,113.1 57,96.9 30,.8558 38,50.4 188,49.2 99,18.4 278,17.9 115,35.2 22,29.1 184,30.9 233,25.6 22,50.4 170,49.0 108,33.6 194,33.0 116,31.2 314,42.5 331,66.6 243,+0.9 43,Seton Hall,,,2024
39,P12,35,25-10,112.8 60,96.7 26,.8549 39,51.8 109,47.2 27,16.4 134,15.7 272,32.9 59,25.0 29,31.6 216,32.3 170,52.2 93,46.5 28,33.9 178,32.5 89,32.2 299,31.1 22,64.8 322,+1.8 29,Washington St.,7,R32,2024
40,P12,37,22-15,114.2 46,97.9 37,.8547 40,54.4 31,48.8 82,16.1 110,14.1 332,27.5 224,25.8 50,27.1 329,26.0 28,53.6 51,48.0 74,36.9 23,33.6 155,40.5 95,36.4 136,69.9 61,-1.2 70,Utah,,,2024
41,B10,36,22-14,115.0 36,98.7 46,.8536 41,50.9 156,48.7 80,15.5 73,15.9 256,31.4 96,28.5 148,33.6 151,29.9 111,50.5 164,47.0 44,34.4 152,34.6 233,34.7 251,33.7 54,66.2 262,-0.6 61,Ohio St.,,,2024
42,MVC,39,32-7,119.6 16,102.7 125,.8524 42,59.8 1,49.9 142,16.2 114,15.5 279,23.6 326,23.3 6,33.1 162,25.9 26,62.4 1,48.8 97,38.1 11,34.7 241,49.5 5,34.0 65,70.7 39,+1.9 28,Indiana St.,,,2024
43,MWC,36,25-11,112.8 61,96.8 28,.8523 43,54.2 35,48.5 71,15.4 68,16.6 196,24.6 301,26.9 89,31.8 208,31.7 151,57.0 9,48.0 74,33.0 221,33.0 116,38.2 153,33.7 54,66.0 269,+1.1 40,Colorado St.,10,R64,2024
44,MWC,33,22-11,113.7 52,97.8 35,.8497 44,51.0 152,49.8 133,16.4 134,16.9 174,32.9 59,23.1 5,35.1 111,33.1 192,50.8 151,52.1 257,34.2 159,30.5 18,39.4 116,36.7 155,66.5 249,+0.7 47,Boise St.,10,R68,2024
45,B12,37,22-15,111.3 78,95.7 22,.8495 45,50.3 195,47.7 41,17.3 196,17.3 146,36.2 15,25.3 35,27.6 315,29.1 87,50.8 151,46.3 27,33.0 221,33.6 155,36.7 198,34.8 84,67.4 189,-1.4 72,Cincinnati,,,2024
46,B12,34,21-13,114.0 47,98.2 39,.8481 46,51.5 126,50.7 191,18.0 242,20.6 25,35.9 17,28.4 145,35.0 117,35.4 256,50.8 151,51.3 220,35.4 92,33.0 116,30.3 327,35.1 92,70.0 54,+0.9 44,TCU,9,R64,2024
47,A10,33,25-8,116.7 26,100.6 81,.8470 47,56.2 11,48.3 60,16.0 104,15.9 256,26.4 266,28.6 158,36.7 77,21.9 3,53.4 57,48.5 91,39.9 3,32.0 61,44.3 32,40.1 282,64.2 337,+2.3 24,Dayton,7,R32,2024
48,ACC,41,26-15,114.2 44,99.1 58,.8366 48,50.7 169,49.5 113,13.8 9,17.5 136,28.2 196,29.1 184,32.0 195,31.5 139,50.2 178,49.0 108,34.4 152,33.6 155,33.3 283,36.7 155,67.7 167,-0.42 59,N.C. State,11,Final Four,2024
49,B12,32,20-12,113.1 58,98.4 42,.8318 49,53.1 61,47.4 36,18.1 249,16.5 206,30.1 125,26.2 61,37.7 58,31.1 134,53.9 43,48.9 101,34.5 144,29.9 9,38.5 146,35.7 114,67.2 198,+0.6 49,Oklahoma,,,2024
50,SEC,34,26-8,115.0 38,100.1 75,.8309 50,50.9 156,48.4 67,15.5 73,14.9 307,32.8 65,27.9 123,31.8 208,31.6 146,50.9 148,47.3 50,33.9 178,33.9 174,41.1 84,31.3 24,63.2 351,+4.7 11,South Carolina,6,R64,2024
51,MVC,35,28-7,114.8 40,100.1 73,.8282 51,54.7 25,50.8 195,13.8 9,17.5 136,24.1 313,22.5 2,32.3 188,31.3 138,54.8 28,51.3 220,36.4 37,33.3 136,39.2 123,38.9 245,67.9 151,+1.6 31,Drake,10,R64,2024
52,P12,36,24-12,114.2 45,99.7 68,.8270 52,51.9 102,51.5 239,14.7 39,17.8 120,28.6 180,27.3 102,32.0 195,32.3 170,52.6 83,51.0 205,33.8 181,34.9 250,36.3 204,36.9 171,67.2 203,+1.3 37,Oregon,11,R32,2024
53,ACC,34,19-15,115.8 33,101.3 96,.8230 53,53.8 46,51.0 206,16.2 114,16.9 174,25.0 297,26.2 61,33.0 165,30.2 117,54.8 28,51.1 212,34.8 132,33.8 166,41.6 70,33.9 60,67.9 153,-2.1 78,Virginia Tech,,,2024
54,B10,34,19-15,119.5 17,104.6 152,.8216 54,52.9 66,52.2 270,13.2 5,16.4 211,27.4 230,30.3 229,33.1 162,32.9 189,52.9 75,51.4 226,35.1 112,35.8 305,29.9 330,35.9 123,71.9 18,-0.7 62,Iowa,,,2024
55,Amer,34,25-9,116.7 28,102.5 120,.8162 55,54.7 25,49.6 123,16.2 114,16.4 211,33.5 43,29.3 194,34.8 125,27.3 47,56.0 17,49.2 119,35.1 112,33.6 155,39.1 127,36.2 130,68.1 142,+1.1 38,Florida Atlantic,8,R64,2024
56,BE,35,21-14,108.7 120,95.5 19,.8161 56,51.5 126,47.5 38,17.5 205,17.0 164,27.0 246,27.8 115,31.8 208,27.7 58,53.7 49,45.5 15,32.5 247,34.3 210,44.3 32,34.1 68,67.7 171,+0.7 45,Providence,,,2024
57,BE,33,18-15,112.6 64,98.9 54,.8160 57,51.9 102,50.0 147,15.4 68,16.0 247,26.3 269,29.0 178,26.7 334,22.3 5,51.5 124,50.9 199,35.0 121,32.4 83,38.0 157,37.5 195,68.5 119,-0.9 64,Butler,,,2024
