lr,batch_size,optimizer,dropout,architecture,fold,epoch,train_loss,val_acc,,
0.01,64,SGD,0,[128],1,1,1.5277,0.8316,,
0.01,64,SGD,0,[128],1,2,0.6395,0.8692,,
0.01,64,SGD,0,[128],1,3,0.467,0.8857,,1.5277
0.01,64,SGD,0,[128],1,4,0.4038,0.8932,,
0.01,64,SGD,0,[128],1,5,0.3699,0.9002,,1.5058
0.01,64,SGD,0,[128],1,6,0.348,0.9041,,
0.01,64,SGD,0,[128],1,7,0.3318,0.908,,1.51
0.01,64,SGD,0,[128],1,8,0.3187,0.909,,
0.01,64,SGD,0,[128],1,9,0.3076,0.913,,
0.01,64,SGD,0,[128],1,10,0.2979,0.9149,,
0.01,64,SGD,0,[128],1,11,0.2892,0.9179,,
0.01,64,SGD,0,[128],1,12,0.281,0.9196,,
0.01,64,SGD,0,[128],1,13,0.2733,0.9221,,
0.01,64,SGD,0,[128],1,14,0.2662,0.9238,,
0.01,64,SGD,0,[128],1,15,0.2592,0.925,,
0.01,64,SGD,0,[128],2,1,1.5058,0.834,,
0.01,64,SGD,0,[128],2,2,0.6361,0.874,,
0.01,64,SGD,0,[128],2,3,0.4682,0.8872,,
0.01,64,SGD,0,[128],2,4,0.4047,0.8953,,
0.01,64,SGD,0,[128],2,5,0.3703,0.9013,,
0.01,64,SGD,0,[128],2,6,0.3474,0.904,,
0.01,64,SGD,0,[128],2,7,0.3309,0.9078,,
0.01,64,SGD,0,[128],2,8,0.3173,0.9115,,
0.01,64,SGD,0,[128],2,9,0.3058,0.9136,,
0.01,64,SGD,0,[128],2,10,0.2957,0.9161,,
0.01,64,SGD,0,[128],2,11,0.2865,0.9157,,
0.01,64,SGD,0,[128],2,12,0.2783,0.9202,,
0.01,64,SGD,0,[128],2,13,0.2705,0.9227,,
0.01,64,SGD,0,[128],2,14,0.2631,0.9242,,
0.01,64,SGD,0,[128],2,15,0.2561,0.9265,,
0.01,64,SGD,0,[128],3,1,1.51,0.8275,,
0.01,64,SGD,0,[128],3,2,0.6202,0.871,,
0.01,64,SGD,0,[128],3,3,0.455,0.8844,,
0.01,64,SGD,0,[128],3,4,0.3955,0.8912,,
0.01,64,SGD,0,[128],3,5,0.3639,0.8959,,
0.01,64,SGD,0,[128],3,6,0.3429,0.9004,,
0.01,64,SGD,0,[128],3,7,0.3273,0.905,,
0.01,64,SGD,0,[128],3,8,0.3147,0.9073,,
0.01,64,SGD,0,[128],3,9,0.3037,0.9105,,
0.01,64,SGD,0,[128],3,10,0.294,0.9128,,
0.01,64,SGD,0,[128],3,11,0.2855,0.9146,,
0.01,64,SGD,0,[128],3,12,0.2776,0.9171,,
0.01,64,SGD,0,[128],3,13,0.2699,0.9194,,
0.01,64,SGD,0,[128],3,14,0.263,0.9225,,
0.01,64,SGD,0,[128],3,15,0.2559,0.9229,,
0.001,64,Adam,0.2,[128],1,1,0.4369,0.9346,,
0.001,64,Adam,0.2,[128],1,2,0.2129,0.952,,
0.001,64,Adam,0.2,[128],1,3,0.1577,0.958,,
0.001,64,Adam,0.2,[128],1,4,0.127,0.9647,,
0.001,64,Adam,0.2,[128],1,5,0.1051,0.9681,,
0.001,64,Adam,0.2,[128],1,6,0.0914,0.971,,
0.001,64,Adam,0.2,[128],1,7,0.0794,0.9716,,
0.001,64,Adam,0.2,[128],1,8,0.069,0.9716,,
0.001,64,Adam,0.2,[128],1,9,0.0612,0.9728,,
0.001,64,Adam,0.2,[128],1,10,0.0551,0.9736,,
0.001,64,Adam,0.2,[128],1,11,0.05,0.9737,,
0.001,64,Adam,0.2,[128],1,12,0.0469,0.9751,,
0.001,64,Adam,0.2,[128],1,13,0.044,0.976,,
0.001,64,Adam,0.2,[128],1,14,0.0368,0.9756,,
0.001,64,Adam,0.2,[128],1,15,0.0355,0.9758,,
0.001,64,Adam,0.2,[128],2,1,0.449,0.9311,,
0.001,64,Adam,0.2,[128],2,2,0.222,0.9492,,
0.001,64,Adam,0.2,[128],2,3,0.1645,0.9565,,
0.001,64,Adam,0.2,[128],2,4,0.1323,0.9614,,
0.001,64,Adam,0.2,[128],2,5,0.1129,0.9657,,
0.001,64,Adam,0.2,[128],2,6,0.0989,0.9692,,
0.001,64,Adam,0.2,[128],2,7,0.0852,0.9702,,
0.001,64,Adam,0.2,[128],2,8,0.0739,0.9724,,
0.001,64,Adam,0.2,[128],2,9,0.0686,0.9722,,
0.001,64,Adam,0.2,[128],2,10,0.0617,0.9725,,
0.001,64,Adam,0.2,[128],2,11,0.0557,0.9728,,
0.001,64,Adam,0.2,[128],2,12,0.0503,0.9733,,
0.001,64,Adam,0.2,[128],2,13,0.0462,0.9742,,
0.001,64,Adam,0.2,[128],2,14,0.0408,0.9713,,
0.001,64,Adam,0.2,[128],2,15,0.0414,0.9748,,
0.001,64,Adam,0.2,[128],3,1,0.4453,0.9294,,
0.001,64,Adam,0.2,[128],3,2,0.2204,0.9502,,
0.001,64,Adam,0.2,[128],3,3,0.1644,0.96,,
0.001,64,Adam,0.2,[128],3,4,0.1306,0.9653,,
0.001,64,Adam,0.2,[128],3,5,0.11,0.9671,,
0.001,64,Adam,0.2,[128],3,6,0.0934,0.9705,,
0.001,64,Adam,0.2,[128],3,7,0.0815,0.972,,
0.001,64,Adam,0.2,[128],3,8,0.0731,0.9729,,
0.001,64,Adam,0.2,[128],3,9,0.0653,0.9736,,
0.001,64,Adam,0.2,[128],3,10,0.0591,0.9747,,
0.001,64,Adam,0.2,[128],3,11,0.0548,0.9731,,
0.001,64,Adam,0.2,[128],3,12,0.0477,0.9768,,
0.001,64,Adam,0.2,[128],3,13,0.044,0.9761,,
0.001,64,Adam,0.2,[128],3,14,0.0424,0.9758,,
0.001,64,Adam,0.2,[128],3,15,0.0377,0.9752,,
0.001,128,Adam,0.5,[128],1,1,0.6343,0.9173,,
0.001,128,Adam,0.5,[128],1,2,0.3221,0.9368,,
0.001,128,Adam,0.5,[128],1,3,0.2602,0.9444,,
0.001,128,Adam,0.5,[128],1,4,0.2279,0.9522,,
0.001,128,Adam,0.5,[128],1,5,0.2023,0.9564,,
0.001,128,Adam,0.5,[128],1,6,0.1859,0.9593,,
0.001,128,Adam,0.5,[128],1,7,0.1711,0.9607,,
0.001,128,Adam,0.5,[128],1,8,0.1599,0.9624,,
0.001,128,Adam,0.5,[128],1,9,0.1508,0.9641,,
0.001,128,Adam,0.5,[128],1,10,0.1426,0.9659,,
0.001,128,Adam,0.5,[128],1,11,0.1377,0.9667,,
0.001,128,Adam,0.5,[128],1,12,0.1325,0.9674,,
0.001,128,Adam,0.5,[128],1,13,0.1237,0.9684,,
0.001,128,Adam,0.5,[128],1,14,0.1194,0.9676,,
0.001,128,Adam,0.5,[128],1,15,0.1144,0.9691,,
0.001,128,Adam,0.5,[128],2,1,0.6439,0.9161,,
0.001,128,Adam,0.5,[128],2,2,0.3301,0.9337,,
0.001,128,Adam,0.5,[128],2,3,0.268,0.9446,,
0.001,128,Adam,0.5,[128],2,4,0.2316,0.9509,,
0.001,128,Adam,0.5,[128],2,5,0.2064,0.9552,,
0.001,128,Adam,0.5,[128],2,6,0.1849,0.9577,,
0.001,128,Adam,0.5,[128],2,7,0.175,0.9601,,
0.001,128,Adam,0.5,[128],2,8,0.1598,0.962,,
0.001,128,Adam,0.5,[128],2,9,0.1528,0.9641,,
0.001,128,Adam,0.5,[128],2,10,0.1445,0.9656,,
0.001,128,Adam,0.5,[128],2,11,0.1349,0.9654,,
0.001,128,Adam,0.5,[128],2,12,0.1298,0.9677,,
0.001,128,Adam,0.5,[128],2,13,0.1254,0.9676,,
0.001,128,Adam,0.5,[128],2,14,0.118,0.9688,,
0.001,128,Adam,0.5,[128],2,15,0.117,0.9688,,
0.001,128,Adam,0.5,[128],3,1,0.6249,0.9155,,
0.001,128,Adam,0.5,[128],3,2,0.3197,0.9361,,
0.001,128,Adam,0.5,[128],3,3,0.2616,0.9456,,
0.001,128,Adam,0.5,[128],3,4,0.2285,0.9526,,
0.001,128,Adam,0.5,[128],3,5,0.2044,0.956,,
0.001,128,Adam,0.5,[128],3,6,0.1882,0.9613,,
0.001,128,Adam,0.5,[128],3,7,0.1772,0.9631,,
0.001,128,Adam,0.5,[128],3,8,0.1642,0.9645,,
0.001,128,Adam,0.5,[128],3,9,0.1482,0.967,,
0.001,128,Adam,0.5,[128],3,10,0.1451,0.9673,,
0.001,128,Adam,0.5,[128],3,11,0.1389,0.9687,,
0.001,128,Adam,0.5,[128],3,12,0.1321,0.9697,,
0.001,128,Adam,0.5,[128],3,13,0.128,0.9704,,
0.001,128,Adam,0.5,[128],3,14,0.1214,0.9711,,
0.001,128,Adam,0.5,[128],3,15,0.1142,0.9722,,
0.01,64,SGD,0,"[512, 256, 128]",1,1,2.2628,0.6065,,
0.01,64,SGD,0,"[512, 256, 128]",1,2,1.579,0.7571,,
0.01,64,SGD,0,"[512, 256, 128]",1,3,0.6459,0.853,,
0.01,64,SGD,0,"[512, 256, 128]",1,4,0.4631,0.8788,,
0.01,64,SGD,0,"[512, 256, 128]",1,5,0.3958,0.8958,,
